specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
6786999782491838464,0.6590347,236.6064,253.907686949641,44.3606154518882,22.1022,21.47904,19.95106,18.75675,19.95106,boss,6028,273,56102,,21.86829948425293,,,,,,,,,
6786964048363935744,0.5588776,197.8936,254.250308984433,44.2256706321565,25.97422,22.59236,20.75806,19.76197,20.75806,boss,6028,143,56102,,,,,,,,,,,
6786983014939514880,0.2068065,224.1206,254.088989367311,44.2764480514532,23.43417,20.02703,18.52994,17.89842,18.52994,boss,6028,212,56102,,,20.122800827026367,,,,,,,,
6786981640549980160,0.5945525,138.799,254.055625334836,44.2682039626496,21.867,21.45917,20.30264,19.48179,20.30264,boss,6028,207,56102,,21.081600189208984,,,,,,,,,
6786980541038352384,0.5585378,256.0421,254.018982299087,44.2085440210631,24.69742,21.78331,20.14716,19.11552,20.14716,boss,6028,203,56102,,,,,,,,,,,
6786980266160445440,0.5572321,217.5586,254.018622939544,44.1833548031317,23.62263,21.93857,20.36917,19.29494,20.36917,boss,6028,202,56102,22.088699340820312,20.894399642944336,19.885799407958984,,,,,,,g-r,1.1942996978759766
6786973943968585728,0.4715544,191.7405,254.164254933476,44.0388597360466,24.88918,22.21427,20.46591,19.61655,20.46591,boss,6028,179,56102,22.270000457763672,20.93120002746582,20.2455997467041,,,,,,,g-r,1.3388004302978516
6786963498608121856,0.522795,296.0163,254.364393666003,44.0439677737333,24.27107,22.49467,20.63064,19.57875,20.63064,boss,6028,141,56102,,21.408899307250977,,,,,,,,,
6786961299584866304,0.6335924,228.568,254.25382516537,43.9971803040748,23.32281,23.26795,20.65973,19.31632,20.65973,boss,6028,133,56102,,21.586599349975582,20.347700119018555,,,,,,,r-i,1.2388992309570277
6786962124218587136,0.3768173,208.2632,254.329019179727,43.8533090192901,25.05766,20.58628,18.9535,18.29841,18.9535,boss,6028,136,56102,,,21.436899185180664,,,,,,,,
6786962948852307968,0.2000686,194.4539,254.555463477785,43.6740269904156,20.84453,18.9264,17.61729,17.11042,17.61729,boss,6028,139,56102,20.12070083618164,19.051300048828125,18.4955997467041,,,,,,,g-r,1.0694007873535156
6786959650317424640,0.4760681,191.9591,254.574515840308,43.6616964845881,25.47713,21.81373,19.86463,19.04814,19.86463,boss,6028,127,56102,22.12849998474121,20.81100082397461,19.957500457763672,,,,,,,g-r,1.3174991607666016
6786962399096494080,0.4674369,233.7914,254.530434895023,43.5109431539532,22.05178,21.5845,20.0687,19.25089,20.0687,boss,6028,137,56102,,21.105899810791016,20.40970039367676,,,,,,,r-i,0.6961994171142543
6787119079503452160,0.467865,202.4665,253.461368625285,45.9790854119854,23.87026,22.14701,20.58564,19.71073,20.58564,boss,6028,707,56102,21.84819984436035,20.2947998046875,20.48290061950684,,,,,,,g-r,1.5534000396728516
6787108359265081344,0.2706079,215.1517,253.192715558542,46.0235538626706,22.3115,19.69606,18.26101,17.70593,18.26101,boss,6028,668,56102,,,19.263399124145508,,,,,,,,
6787121278526707712,0.5818034,257.5765,253.37120347837,46.0042972865051,26.45503,21.84408,20.02284,19.09898,20.02284,boss,6028,715,56102,,21.487699508666992,20.49349975585937,,,,,,,r-i,0.9941997528076207
6787117430236010496,0.369927,186.6678,253.466353963774,45.8844963052301,24.11228,20.57803,18.76333,18.1871,18.76333,boss,6028,701,56102,21.28899955749512,20.040700912475582,19.478599548339844,,,,,,,g-r,1.2482986450195384
6787117979991824384,0.4619938,216.1396,253.448825100871,45.9362382372214,23.47679,21.74875,20.18762,19.37731,20.18762,boss,6028,703,56102,,,21.755199432373047,,,,,,,,
6787129249986009088,0.439574,238.9214,253.526056629736,45.929199717162,23.14325,21.40356,19.57327,18.79993,19.57327,boss,6028,744,56102,21.78089904785156,20.320600509643555,19.660999298095703,,,,,,,g-r,1.4602985382080043
6787129524863916032,0.50644,242.4687,253.616276422661,45.767636451298,23.24233,22.48567,20.68821,19.77415,20.68821,boss,6028,745,56102,,21.33530044555664,20.440000534057617,,,,,,,r-i,0.8952999114990234
6787130899253450752,0.2302898,198.9227,253.511584589367,45.7501926059682,21.18573,19.58749,18.20487,17.67929,18.20487,boss,6028,750,56102,20.398700714111328,18.959699630737305,18.793800354003903,,,,,,,g-r,1.4390010833740234
6787120179015079936,0.4682942,252.816,253.444596511793,45.7583765417465,24.56558,21.46391,19.8136,19.00696,19.8136,boss,6028,711,56102,22.02239990234375,20.555700302124023,19.93470001220703,,,,,,,g-r,1.4666996002197266
6787130624375543808,0.5844665,319.9786,253.605081394428,45.7072094981604,23.7189,21.98901,20.35908,19.30072,20.35908,boss,6028,749,56102,,21.20389938354492,20.15780067443848,,,,,,,r-i,1.0460987091064382
6787142169247635456,0.2118744,223.9068,253.740733858939,45.51733886077,21.3877,19.3087,17.93868,17.40045,17.93868,boss,6028,791,56102,21.8080997467041,,,,,,,,,,
6787141894369728512,0.3096876,238.2451,253.725344757686,45.4909188477254,22.37399,19.96872,18.34788,17.77525,18.34788,boss,6028,790,56102,21.691200256347656,,,,,,,,,,
6787142444125542400,0.2884718,305.3424,253.786218802884,45.4277946336801,25.63837,20.41263,18.70824,18.14691,18.70824,boss,6028,792,56102,,,,,,,,,,,
6787133098276706304,0.4666422,345.0602,253.612018128202,45.4961142914908,23.16117,20.82435,19.04585,18.28836,19.04585,boss,6028,758,56102,21.52440071105957,20.052600860595703,19.37150001525879,,,,,,,g-r,1.4717998504638672
6787153988997634048,0.2865822,251.1344,253.945253453765,45.4208682717007,22.62578,19.15031,17.54389,16.92845,17.54389,boss,6028,834,56102,20.70800018310547,19.33819961547852,18.808900833129883,,,,,,,g-r,1.3698005676269496
