specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
4435144402810460160,0.5151162,237.0963,232.534668744776,16.9942344386896,23.41823,21.94099,20.19517,19.26685,20.19517,boss,3939,817,55633,--,20.88680076599121,20.16819953918457,,,,,,
4435143578176739328,0.5158651,357.6613,232.558446589094,16.9979652567438,23.63947,22.37366,20.60172,19.57904,20.60172,boss,3939,814,55633,22.212499618530273,21.216800689697266,20.290700912475586,,,,,,
4435143853054646272,0.6577483,131.1495,232.49019394064,16.8858863688277,22.49367,22.35395,20.35642,19.19872,20.35642,boss,3939,815,55633,22.267900466918945,21.638700485229492,20.47920036315918,,,,,,
4435141104275576832,0.5226837,345.9906,232.579542663514,17.0127113941945,24.51295,22.46803,20.58844,19.54996,20.58844,boss,3939,805,55633,--,21.138599395751953,20.409700393676758,,,,,,
4435151549636040704,0.5079944,154.6767,232.595180693275,16.9367381219157,22.36699,22.30978,20.70388,19.7955,20.70388,boss,3939,843,55633,--,21.39940071105957,20.42289924621582,,,,,,
4435153748659296256,0.521568,196.2868,232.59959433519,16.8771614919973,25.88272,22.72617,20.74972,19.6488,20.74972,boss,3939,851,55633,--,21.101699829101562,20.181699752807617,,,,,,
4435152374269761536,0.5196069,232.9878,232.666206225827,16.9884640067068,22.03454,21.26641,19.71774,18.80263,19.71774,boss,3939,846,55633,--,21.135099411010742,--,,,,,,
4435152649147668480,0.5315116,225.057,232.636822309218,16.8810603971842,25.83626,22.54892,20.84359,19.78937,20.84359,boss,3939,847,55633,--,21.389299392700195,20.323200225830078,,,,,,
4435154573293017088,0.494177,233.0611,232.647922840412,16.7999201690932,24.56499,21.98902,20.27164,19.28306,20.27164,boss,3939,854,55633,--,21.950700759887695,21.523000717163086,,,,,,
4435143303298832384,0.6592718,265.888,232.55720425594,16.9151556588913,22.45162,22.33651,20.76855,19.4901,20.76855,boss,3939,813,55633,--,21.972299575805664,20.730600357055664,,,,,,
4435164194019760128,0.3802441,141.0449,232.699338909025,16.8937816391391,24.19637,22.02673,20.62346,19.77312,20.62346,boss,3939,889,55633,22.035900115966797,--,--,,,,,,
4435165293531387904,0.4043776,163.8008,232.764823810938,16.7984377956514,23.1569,21.96524,20.41285,19.63352,20.41285,boss,3939,893,55633,22.246000289916992,20.82229995727539,20.194700241088867,,,,,,
4435166393043015680,0.2890314,171.9996,232.810412268137,16.7698350211224,21.47219,19.23002,17.75433,17.18161,17.75433,boss,3939,897,55633,20.98590087890625,19.54450035095215,19.167999267578125,,,,,,
4435163919141853184,0.2883789,226.7455,232.696711118462,16.8215577698357,21.66614,20.07427,18.4668,17.91202,18.4668,boss,3939,888,55633,21.08060073852539,19.75189971923828,19.241100311279297,,,,,,
4435164743775574016,0.519132,159.6998,232.690505426698,16.7801700718463,26.89128,22.37745,20.65066,19.66374,20.65066,boss,3939,891,55633,--,21.28660011291504,20.41230010986328,,,,,,
4435165843287201792,0.5196844,180.0147,232.756817952267,16.8190476650449,26.90721,21.71244,19.80116,18.95819,19.80116,boss,3939,895,55633,--,21.279199600219727,20.493999481201172,,,,,,
4435165018653480960,0.288316,232.9199,232.844321533649,16.7746295469214,21.13697,18.94842,17.41224,16.81923,17.41224,boss,3939,892,55633,--,--,--,,,,,,
4435177388159293440,0.5202037,231.6521,232.898197973909,16.8865629003207,23.95025,22.27501,20.57826,19.63482,20.57826,boss,3939,937,55633,--,21.183500289916992,20.252199172973633,,,,,,
4435175738891851776,0.5338932,259.2689,232.877436651835,16.7944219559851,25.37696,22.69992,20.95052,20.00596,20.95052,boss,3939,931,55633,--,21.25189971923828,20.34309959411621,,,,,,
4435177937915107328,0.6611349,195.6698,232.990165579089,16.7661531974801,26.94905,22.17906,20.95396,19.83689,20.95396,boss,3939,939,55633,22.27989959716797,21.57029914855957,20.523500442504883,,,,,,
4435174639380224000,0.5168599,246.4059,233.065269794325,16.8321572002328,23.11603,22.57883,20.75837,19.67537,20.75837,boss,3939,927,55633,21.859399795532227,21.244400024414062,20.39459991455078,,,,,,
4435176288647665664,0.5350127,253.0905,233.097068376435,16.8145876635996,24.67277,22.28668,20.5869,19.60458,20.5869,boss,3939,933,55633,--,21.627899169921875,--,,,,,,
4434941817793042432,0.3808814,177.2836,233.134015742899,16.7020799923682,23.51365,21.19213,19.32075,18.64801,19.32075,boss,3939,80,55633,22.006900787353516,20.288400650024414,19.70199966430664,,,,,,
4435188933031385088,0.2385116,251.9628,233.147200098977,16.7626615472144,22.26265,19.59736,18.12315,17.56376,18.12315,boss,3939,979,55633,20.772199630737305,19.332700729370117,19.02589988708496,,,,,,
4434941542915135488,0.5378414,241.0599,233.198886599627,16.7219228802163,23.48604,21.82481,20.21229,19.29659,20.21229,boss,3939,79,55633,22.063600540161133,20.725900650024414,19.903099060058594,,,,,,
4434940718281414656,0.5358276,211.245,233.249459546643,16.6662930603756,24.22809,21.27467,19.57911,18.59844,19.57911,boss,3939,76,55633,22.140199661254883,21.130300521850586,20.271699905395508,,,,,,
4434938794136066048,0.5335814,399.0471,233.228380781403,16.6344993236193,23.06343,22.58773,20.74002,19.68793,20.74002,boss,3939,69,55633,--,21.371200561523438,20.50040054321289,,,,,,
4434928898531416064,0.5611678,198.3345,233.449274998166,16.5614349030226,25.19354,22.38431,20.46572,19.46956,20.46572,boss,3939,33,55633,22.206600189208984,21.0310001373291,20.214799880981445,,,,,,
6646347505650128896,0.5678331,152.8796,220.963060027841,20.5666449741087,22.69512,22.00805,20.3868,19.5531,20.3868,boss,5903,583,56064,22.003400802612305,20.94700050354004,20.07509994506836,,,,,,
6646347230772221952,0.2251851,233.532,220.988817837029,20.5492317841098,21.44975,19.16276,17.74977,17.21457,17.74977,boss,5903,582,56064,19.994300842285156,18.70709991455078,18.175500869750977,,,,,,
6646348330283849728,0.2466443,198.9293,221.063747927178,20.4489362892398,21.70228,19.59667,18.13567,17.57352,18.13567,boss,5903,586,56064,20.454999923706055,19.11440086364746,18.83209991455078,,,,,,
6646346955894315008,0.511199,249.9425,221.065176540114,20.4972544517318,23.30915,22.02388,20.38559,19.3817,20.38559,boss,5903,581,56064,22.14389991760254,20.965999603271484,20.075899124145508,,,,,,
6646349704673384448,0.4250404,279.3308,221.114811054192,20.4582849036613,23.15342,21.37841,19.58381,18.78202,19.58381,boss,5903,591,56064,21.891799926757812,20.290800094604492,19.505300521850586,,,,,,
6646358500766406656,0.5061281,208.6828,221.128887891585,20.5108569755015,24.59969,21.65296,19.75148,18.7425,19.75148,boss,5903,623,56064,--,--,--,,,,,,
6646360699789662208,0.456624,211.8153,221.239903186901,20.5094484588487,25.0103,21.7921,20.20809,19.31535,20.20809,boss,5903,631,56064,22.422399520874023,20.814199447631836,20.03499984741211,,,,,,
6646359050522220544,0.5101283,162.7396,221.283196179512,20.5986017234028,24.59389,22.01111,20.29933,19.38614,20.29933,boss,5903,625,56064,22.351499557495117,21.07390022277832,20.12459945678711,,,,,,
6646361249545476096,0.5700057,254.8458,221.313280135214,20.5397633008874,23.29116,22.19502,20.50305,19.37514,20.50305,boss,5903,633,56064,--,21.207799911499023,20.10219955444336,,,,,,
6646369495882684416,0.5070776,229.5105,221.378960775062,20.5161038223208,25.86742,22.25477,20.29728,19.28406,20.29728,boss,5903,663,56064,--,--,20.813400268554688,,,,,,
6646370045638498304,0.5092109,225.7943,221.386035297507,20.3851233321668,24.96703,22.47054,20.72736,19.77738,20.72736,boss,5903,665,56064,--,--,--,,,,,,
6646371694905939968,0.5054156,237.175,221.501640981292,20.49391490361,24.91812,22.26656,20.52642,19.51366,20.52642,boss,5903,671,56064,--,--,--,,,,,,
6646372519539660800,0.5034533,171.0113,221.471737428407,20.4082531217056,26.25559,22.55588,20.91008,19.89643,20.91008,boss,5903,674,56064,--,21.518600463867188,20.515600204467773,,,,,,
6646373893929195520,0.5061458,175.9054,221.487022408117,20.3858082179918,26.13484,22.73032,20.81788,19.91566,20.81788,boss,5903,679,56064,--,21.15489959716797,20.316299438476562,,,,,,
6646382690022217728,0.4486275,204.3547,221.555112995126,20.5041284939186,23.99975,21.5938,19.9975,19.19156,19.9975,boss,5903,711,56064,21.90690040588379,20.608699798583984,19.745100021362305,,,,,,
6646381865388496896,0.4546154,199.0779,221.605233471553,20.3243574895868,25.6769,21.46522,19.7177,18.83254,19.7177,boss,5903,708,56064,22.0093994140625,20.693599700927734,19.902599334716797,,,,,,
6646395884161751040,0.3877309,174.3944,221.791252527891,20.4203713868882,24.02592,22.45618,20.86354,20.03991,20.86354,boss,5903,759,56064,21.787099838256836,--,--,,,,,,
6646393685138495488,0.5202585,245.4563,221.890758930887,20.3422328460008,23.08988,22.15064,20.36132,19.33244,20.36132,boss,5903,751,56064,--,21.677200317382812,20.706899642944336,,,,,,
6646404130498959360,0.5186528,289.5528,221.987284859846,20.2703854297277,23.30634,22.38926,20.72869,19.7325,20.72869,boss,5903,789,56064,--,--,--,,,,,,
6646415400493144064,0.3554379,193.7253,222.208461914357,20.2072399878116,22.06377,20.60036,18.94596,18.28373,18.94596,boss,5903,830,56064,21.471099853515625,20.012800216674805,19.38479995727539,,,,,,
6646425296097794048,0.2470824,178.7345,222.462879775237,20.1829887367551,21.27553,19.78034,18.30019,17.76634,18.30019,boss,5903,866,56064,20.59440040588379,19.3262996673584,18.856199264526367,,,,,,
