specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
6888484157439367168,0.4579196,275.5475,337.691085108964,22.0812391355484,24.20202,22.32121,20.67483,19.74422,20.67483,boss,6118,831,56189,21.781700134277344,20.98349952697754,20.25279998779297,,,,,,,g-r,0.7982006072998047
6888494327921924096,0.378454,257.5285,337.786555334649,22.1318891658236,22.0961,20.69032,18.86725,18.19847,18.86725,boss,6118,868,56189,21.52720069885254,20.200000762939453,19.19650077819824,,,,,,,g-r,1.327199935913086
6888495702311458816,0.3791248,234.1751,337.827724303146,22.1599977844419,25.14069,20.63369,18.87479,18.19211,18.87479,boss,6118,873,56189,21.670000076293945,20.087499618530277,19.38789939880371,,,,,,,g-r,1.5825004577636683
6888495152555644928,0.5148664,191.6606,337.832817625672,22.1841167119199,25.51344,22.41862,20.52079,19.51819,20.52079,boss,6118,871,56189,22.489200592041016,21.22330093383789,20.298200607299805,,,,,,,g-r,1.265899658203125
6888497351578900480,0.5744476,174.6757,337.930499380868,22.1555271193076,24.25684,22.17028,20.60036,19.52134,20.60036,boss,6118,879,56189,,21.51499938964844,20.544300079345703,,,,,,,r-i,0.9706993103027379
6888494602799831040,0.5156363,209.0592,337.913518214015,22.3155780998402,26.99561,20.98958,19.1037,18.18378,19.1037,boss,6118,869,56189,,,20.547199249267575,,,,,,,,
6888507796939364352,0.1711545,233.0952,338.050931926442,22.1817693619042,21.11312,19.09455,17.81178,17.22791,17.81178,boss,6118,917,56189,19.875900268554688,18.96940040588379,18.396699905395508,,,,,,,g-r,0.9064998626708984
6888505323038201856,0.4266193,180.2759,338.053456493146,22.3074595001058,24.29959,21.48322,19.53946,18.8217,19.53946,boss,6118,908,56189,21.84720039367676,20.394500732421875,19.678699493408203,,,,,,,g-r,1.4526996612548864
6888505597916108800,0.5742728,213.7507,338.146470473949,22.337832648606,24.52419,22.28114,20.98843,20.01663,20.98843,boss,6118,909,56189,22.52910041809082,,,,,,,,,,
6888516043276572672,0.591626,230.2085,338.327426011499,22.3067486709874,25.09983,21.95901,20.11535,19.00695,20.11535,boss,6118,947,56189,,22.16110038757324,,,,,,,,,
6888518792055642112,0.5883254,330.0662,338.449624157285,22.269688919128,23.68333,22.008,20.16085,18.84658,20.16085,boss,6118,957,56189,,21.26469993591309,19.985300064086918,,,,,,,r-i,1.2793998718261719
6888514668887037952,0.3543104,237.1848,338.467690751276,22.3002520417629,23.26132,21.28622,19.49622,18.79502,19.49622,boss,6118,942,56189,,,22.019399642944336,,,,,,,,
6889541337735256064,0.591142,114.4183,338.782032084016,22.3997457096419,21.73788,21.7881,20.21337,19.34747,20.21337,boss,6119,581,56181,21.135799407958984,21.88039970397949,20.9325008392334,,,,,,,g-r,-0.7446002960205043
6889542712124790784,0.3577187,235.0641,338.85577244774,22.4083672120778,22.1116,21.05393,19.35818,18.71317,19.35818,boss,6119,586,56181,20.27400016784668,19.10400009155273,20.239500045776367,,,,,,,g-r,1.1700000762939489
6889542437246883840,0.540377,181.6022,338.834777747817,22.437192814499,25.42694,22.28644,20.16751,19.16949,20.16751,boss,6119,585,56181,,21.53899955749512,20.579599380493164,,,,,,,r-i,0.9594001770019567
6889553157485254656,0.3940545,276.5728,338.991908222622,22.4391592585507,23.77676,21.11563,19.39287,18.65478,19.39287,boss,6119,624,56181,21.72830009460449,20.35770034790039,19.64559936523437,,,,,,,g-r,1.370599746704098
6889564427479439360,0.5240786,111.7585,339.171475161482,22.3935629761894,23.06886,22.29487,20.37065,19.52846,20.37065,boss,6119,665,56181,,21.28420066833496,20.40970039367676,,,,,,,r-i,0.8745002746581996
6889563602845718528,0.1938626,208.6074,339.255900244671,22.4507563932052,20.82364,18.89811,17.65111,17.13926,17.65111,boss,6119,662,56181,20.10810089111328,18.91270065307617,18.338600158691406,,,,,,,g-r,1.195400238037113
6889585593078274048,0.3023418,283.5825,339.590346261252,22.5830476694914,23.2387,20.39318,18.71976,18.08957,18.71976,boss,6119,742,56181,20.870399475097656,19.807100296020508,18.955699920654297,,,,,,,g-r,1.0632991790771484
