specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
5949363782946150400,0.5457231,215.6283,129.013248879642,9.84902128019277,23.65065,21.96563,20.46042,19.64294,20.46042,boss,5284,395,55866,,20.66530036926269,19.920499801635746,,,,,,,r-i,0.744800567626946
5949364332701964288,0.5092077,182.1507,129.053828809004,9.92851827977122,22.50189,21.47898,20.24643,19.40822,20.24643,boss,5284,397,55866,21.53580093383789,,,,,,,,,,
5949364882457778176,0.4800309,267.1465,129.113399526283,9.94175254778084,22.76603,22.45038,20.33924,19.44744,20.33924,boss,5284,399,55866,22.12299919128418,20.95210075378418,20.119800567626957,,,,,,,g-r,1.1708984375
5949353337585686528,0.5997043,211.6812,129.278983318209,10.0091052881063,23.77323,22.48027,20.77571,19.71952,20.77571,boss,5284,357,55866,,21.235300064086918,20.13500022888184,,,,,,,r-i,1.1002998352050781
5949352787829872640,0.4470422,294.3384,129.304885398775,9.85841346395129,21.93361,21.22774,19.34909,18.53823,19.34909,boss,5284,355,55866,21.677000045776367,20.268299102783203,19.41819953918457,,,,,,,g-r,1.408700942993164
5949353887341500416,0.5082971,178.9533,129.197769644755,9.96164113670835,23.21556,21.78385,20.29027,19.39445,20.29027,boss,5284,359,55866,,22.62220001220703,,,,,,,,,
5949458615824046080,0.3020196,246.313,129.38805181298,10.0921063138824,22.79812,20.30029,18.66091,18.08242,18.66091,boss,5284,740,55866,,,,,,,,,,,
5949456141922883584,0.2986244,172.8816,129.454818365437,10.0189842514173,22.38459,20.49315,18.77341,18.21379,18.77341,boss,5284,731,55866,21.12070083618164,19.627599716186523,19.13279914855957,,,,,,,g-r,1.4931011199951172
5949456966556604416,0.3261934,204.6382,129.398092304105,10.0600114784046,22.63414,21.04485,19.27579,18.60122,19.27579,boss,5284,734,55866,,,,,,,,,,,
5949447345829861376,0.5494916,224.6667,129.340986567442,10.0795863166958,22.43691,21.98931,20.46558,19.43634,20.46558,boss,5284,699,55866,,21.95890045166016,21.020700454711918,,,,,,,r-i,0.9381999969482422
5949468511428696064,0.2934632,195.9162,129.639968291607,10.0179295882465,21.98567,19.88146,18.31018,17.7656,18.31018,boss,5284,776,55866,,,,,,,,,,,
5949342892225222656,0.4608377,225.9973,129.508482322313,9.9991272360436,23.40953,21.35659,19.67913,18.87063,19.67913,boss,5284,319,55866,,,,,,,,,,,
5949458340946139136,0.5498947,197.122,129.4888870898,10.1117920754452,23.38459,22.70769,20.97358,19.88994,20.97358,boss,5284,739,55866,,21.333200454711918,20.198400497436523,,,,,,,r-i,1.1347999572753942
5949331897108944896,0.5887786,170.2518,129.544640993244,9.96663912177163,26.10333,22.15734,20.83307,19.51603,20.83307,boss,5284,279,55866,,21.3656005859375,20.369800567626957,,,,,,,r-i,0.9958000183105433
5949466587283347456,0.6290413,259.1581,129.548486402369,10.0084017757275,24.62614,22.09347,20.99582,19.97103,20.99582,boss,5284,769,55866,18.15060043334961,,,,,,,,,,
5949469336062416896,0.5466934,299.5803,129.552536950408,10.0983726550591,23.65065,22.40396,20.86436,19.74788,20.86436,boss,5284,779,55866,21.966100692749023,20.974199295043945,20.06180000305176,,,,,,,g-r,0.9919013977050781
5949331347353131008,0.4952459,160.6943,129.583681755396,9.98023631826234,24.01028,22.48417,20.75283,19.91164,20.75283,boss,5284,277,55866,21.971599578857425,21.000900268554688,20.35810089111328,,,,,,,g-r,0.9706993103027379
5949480606056601600,0.3028854,225.7751,129.65555080162,9.99550993204159,22.56031,20.411,18.82771,18.18425,18.82771,boss,5284,820,55866,20.961200714111328,19.50230026245117,18.92799949645996,,,,,,,g-r,1.4589004516601598
5949480056300787712,0.3253774,312.6421,129.690907237256,10.0696486307014,23.00728,20.73377,19.02221,18.38207,19.02221,boss,5284,818,55866,21.106599807739254,19.64640045166016,19.13960075378418,,,,,,,g-r,1.4601993560790945
5949321176870574080,0.3100673,254.9684,129.731021285147,9.97151450810094,21.76851,19.72871,18.19749,17.64683,18.19749,boss,5284,240,55866,21.667299270629883,,,,,,,,,,
5949478132155439104,0.5513159,135.3428,129.87898721147,10.0811745367099,23.704,22.24953,20.50893,19.38768,20.50893,boss,5284,811,55866,22.084400177001957,20.99180030822754,20.02890014648437,,,,,,,g-r,1.0925998687744176
5949490226783344640,0.5487772,300.746,130.066229440456,10.215616960858,24.4397,22.1216,20.78491,19.86906,20.78491,boss,5284,855,55866,,21.27549934387207,20.526199340820312,,,,,,,r-i,0.7493000030517578
5949489127271716864,0.4987283,147.0379,130.131518437294,10.1812980972141,24.49808,22.49098,20.67314,19.71695,20.67314,boss,5284,851,55866,,22.339799880981445,,,,,,,,,
5949501496777529344,0.289449,202.0402,130.262622150251,10.2451031941364,23.55711,20.62799,18.99807,18.33607,18.99807,boss,5284,896,55866,,22.18630027770996,,,,,,,,,
5949500947021715456,0.236983,200.4106,130.2907176486,10.2929937614943,23.89172,20.24162,18.682,18.02927,18.682,boss,5284,894,55866,22.11590003967285,,,,,,,,,,
5949500122387994624,0.5249714,308.77,130.340022757895,10.2878462016065,23.28755,22.23268,20.22929,19.2759,20.22929,boss,5284,891,55866,,21.7460994720459,,,,,,,,,
5949510017992644608,0.5879185,147.8379,130.389748625501,10.2413996922068,22.23425,21.9833,20.65,19.76641,20.65,boss,5284,927,55866,,21.50639915466309,20.65130043029785,,,,,,,r-i,0.8550987243652379
5949509468236830720,0.5249897,258.9608,130.414731231442,10.2736997224616,22.55397,21.9846,20.3366,19.48363,20.3366,boss,5284,925,55866,22.451499938964844,21.119800567626957,20.32040023803711,,,,,,,g-r,1.331699371337887
5949511667260086272,0.5128562,181.421,130.560133711865,10.2634939567972,24.94743,22.37664,20.66727,19.74518,20.66727,boss,5284,933,55866,,20.883399963378903,,,,,,,,,
5949513316527527936,0.4975683,157.3783,130.58102141279,10.314336290834,23.3785,21.94421,20.60617,19.84975,20.60617,boss,5284,939,55866,22.408100128173828,21.162599563598636,20.424400329589844,,,,,,,g-r,1.2455005645751918
5949511117504272384,0.5120942,308.3349,130.611048883666,10.3246387444063,25.19885,22.32734,20.79366,19.76576,20.79366,boss,5284,931,55866,,21.48970031738281,,,,,,,,,
5949522662376364032,0.5855053,181.5571,130.695736849271,10.2245290404091,23.17987,22.42711,20.99372,20.11869,20.99372,boss,5284,973,55866,21.69109916687012,21.530799865722656,20.839599609375,,,,,,,g-r,0.1602993011474645
5949522112620550144,0.5954043,297.5161,130.728722963078,10.3076244125735,22.54356,22.28696,20.60039,19.4207,20.60039,boss,5284,971,55866,,21.304800033569336,20.36529922485352,,,,,,,r-i,0.9395008087158168
5949519913597294592,0.5981856,298.3708,130.750813068139,10.4158829563219,22.71564,22.75006,20.88918,19.51412,20.88918,boss,5284,963,55866,,,,,,,,,,,
5949527610178689024,0.4556716,275.3608,130.897482990272,10.4662972152375,23.45791,22.10626,20.59443,19.77458,20.59443,boss,5284,991,55866,,20.825000762939453,20.22920036315918,,,,,,,r-i,0.5958003997802734
5949523761887991808,0.4545524,208.9014,130.877947859996,10.3759580889643,24.40814,22.35789,20.79007,19.85469,20.79007,boss,5284,977,55866,,20.99760055541992,20.237499237060547,,,,,,,r-i,0.7601013183593714
5949527335300782080,0.407528,227.383,130.883306581364,10.2582725574387,24.49637,20.9597,19.19851,18.50054,19.19851,boss,5284,990,55866,,,20.642200469970703,,,,,,,,
5949528984568223744,0.3296284,220.2079,130.898996677576,10.3924408564968,23.73617,21.14568,19.32528,18.68653,19.32528,boss,5284,996,55866,21.46619987487793,19.95199966430664,19.417400360107425,,,,,,,g-r,1.514200210571289
5949529259446130688,0.4585212,244.9499,130.94445548308,10.3120527710799,23.61377,21.35782,19.70408,18.88343,19.70408,boss,5284,997,55866,22.0492000579834,20.694000244140625,19.847000122070312,,,,,,,g-r,1.3551998138427734
5949524861399619584,0.4576308,254.1958,130.937037095533,10.4710230752173,25.97064,21.65682,19.8268,18.99044,19.8268,boss,5284,981,55866,,21.045900344848636,20.74340057373047,,,,,,,r-i,0.3024997711181676
5949397592928704512,0.6249775,138.0518,128.120527448785,10.0280692581873,25.9967,22.85258,20.94967,19.69022,20.94967,boss,5284,518,55866,,21.26749992370605,20.28720092773437,,,,,,,r-i,0.9802989959716797
5949393194882193408,0.2990488,190.0555,128.165256925292,10.2121610577232,25.36518,21.28484,19.54512,18.80765,19.54512,boss,5284,502,55866,,,19.77179908752441,,,,,,,,
5949396768294983680,0.5231281,206.4336,128.289325240482,10.2044086168063,23.32967,23.31592,20.96309,19.8747,20.96309,boss,5284,515,55866,,21.10420036315918,20.388900756835938,,,,,,,r-i,0.7152996063232422
5949396218539169792,0.6354281,175.6969,128.236877667541,10.0917113865687,23.18088,22.1486,20.84164,19.78541,20.84164,boss,5284,513,55866,,21.90589904785156,20.640499114990234,,,,,,,r-i,1.2653999328613246
5949395668783355904,0.4769593,388.727,128.291991265683,10.1093120485959,23.07145,21.66165,20.11342,19.32669,20.11342,boss,5284,511,55866,21.704200744628903,21.01059913635254,20.443700790405277,,,,,,,g-r,0.6936016082763636
5949413260969400320,0.4123011,240.8211,128.538644257086,10.1198115598393,24.63468,22.17338,20.41349,19.55094,20.41349,boss,5284,575,55866,,20.557600021362305,19.946399688720703,,,,,,,r-i,0.6112003326416016
5949403365364750336,0.4754463,277.8526,128.492487956932,10.2515102122967,24.66314,21.48992,19.79812,18.94054,19.79812,boss,5284,539,55866,,,21.11549949645996,,,,,,,,
5949425080719398912,0.3330692,238.5815,128.928557740268,10.2902617751231,23.60392,20.16175,18.55558,17.94708,18.55558,boss,5284,618,55866,20.9773006439209,19.569900512695312,19.05139923095703,,,,,,,g-r,1.407400131225586
5949434701446141952,0.6565335,20.11866,129.042927264536,10.3800763912442,22.89582,21.03816,20.09782,19.18213,20.09782,boss,5284,653,55866,,21.661800384521484,,,,,,,,,
5949425355597305856,0.4776013,192.8035,129.019459158809,10.2558315630757,22.77914,21.68719,20.66779,19.74968,20.66779,boss,5284,619,55866,21.72249984741211,21.018999099731445,20.15399932861328,,,,,,,g-r,0.7035007476806641
5949435800957769728,0.446684,167.3173,129.134741244582,10.3396827626905,25.38069,21.93629,20.42073,19.59669,20.42073,boss,5284,657,55866,21.88500022888184,20.78459930419922,20.086700439453125,,,,,,,g-r,1.1004009246826207
5949446246318233600,0.6123266,175.4097,129.287601157539,10.4218070410034,22.67089,22.13457,20.76997,19.86124,20.76997,boss,5284,695,55866,,21.361799240112305,20.11969947814941,,,,,,,r-i,1.2420997619628942
5949517714574039040,0.5333037,239.3107,130.680948828941,10.6462771895907,23.72417,20.3602,18.97326,18.11939,18.97326,boss,5284,955,55866,22.17639923095703,20.87730026245117,20.12420082092285,,,,,,,g-r,1.299098968505863
7931090017908447232,0.5800603,128.2447,17.2866479823494,-3.87469808313023,22.31641,21.80358,20.83575,19.99571,20.83575,boss,7044,913,56591,21.94339942932129,21.435800552368164,20.89430046081543,,,,,,,g-r,0.507598876953125
7932114487632746496,0.3847741,236.5582,17.3707580495561,-3.96842892623416,23.53695,21.03348,19.23943,18.6425,19.23943,boss,7045,544,56577,,,,,,,,,,,
7932125757626931200,0.5806608,249.501,17.5924946653792,-4.03393597540254,22.96057,22.06223,20.69886,19.58834,20.69886,boss,7045,585,56577,21.68549919128418,21.412599563598636,20.42840003967285,,,,,,,g-r,0.2728996276855433
7931100463268911104,0.5110413,276.1574,17.5103801316682,-3.85085191619265,21.62962,22.27156,20.38113,19.47528,20.38113,boss,7044,951,56591,,,,,,,,,,,
7931091117420075008,0.5098667,154.1885,17.5198776539977,-4.00473939204351,25.22279,21.66503,20.02943,19.11834,20.02943,boss,7044,917,56591,21.937599182128903,20.51889991760254,19.76749992370605,,,,,,,g-r,1.4186992645263636
