specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
7104490917760096256,0.4923976,187.6247,249.482020071537,52.8508954129287,25.28839,22.4437,20.82418,19.97526,20.82418,boss,6310,227,56455,21.923900604248047,21.48040008544922,21.63089942932129,,,,,,
7104490368004282368,0.5339614,163.5889,249.48445530354,52.7727307185549,23.21473,22.28234,20.70935,19.84059,20.70935,boss,6310,225,56455,22.3169002532959,--,--,,,,,,
7104479098010097664,0.2504106,239.8251,249.736449458332,52.7150004293082,21.93735,19.7705,18.22881,17.70425,18.22881,boss,6310,184,56455,20.292200088500977,18.91069984436035,18.521799087524414,,,,,,
7104489818248468480,0.2075319,208.6596,249.548401557239,52.7686993571134,21.25282,18.85382,17.59005,17.07227,17.59005,boss,6310,223,56455,20.02429962158203,18.537099838256836,--,,,,,,
7104489543370561536,0.3579316,317.1111,249.375226075071,52.6983584581192,23.54746,20.53117,18.63616,18.01509,18.63616,boss,6310,222,56455,21.19659996032715,19.566099166870117,18.937999725341797,,,,,,
7104478823132190720,0.4638517,200.4895,249.615070747786,52.6693129808423,23.58614,22.19986,20.27184,19.42122,20.27184,boss,6310,183,56455,22.162099838256836,20.74020004272461,20.047000885009766,,,,,,
7104478273376376832,0.5493039,179.0107,249.690905304015,52.6702234897178,25.189,22.09338,20.42991,19.49746,20.42991,boss,6310,181,56455,22.043500900268555,20.791099548339844,19.91160011291504,,,,,,
7104485969957771264,0.5294357,228.1241,249.651702114379,52.5806295519473,25.76925,22.58978,20.83641,19.79039,20.83641,boss,6310,209,56455,--,21.23240089416504,20.460899353027344,,,,,,
4844969218024953856,0.6273708,345.7912,9.35842655758404,4.10046714927489,22.88928,22.00483,20.26139,19.00426,20.26139,boss,4303,807,55508,--,20.57270050048828,--,,,,,,
4844978563873789952,0.4655931,206.5516,9.55572706976943,4.1264415917336,22.78145,21.69994,20.12453,19.16697,20.12453,boss,4303,841,55508,22.134599685668945,20.82900047302246,19.962499618530273,,,,,,
4844971417048209408,0.5152576,182.5759,9.4607348063127,4.11873738833797,24.51166,22.08322,20.47877,19.56257,20.47877,boss,4303,815,55508,21.941499710083008,20.941999435424805,20.12619972229004,,,,,,
4844979113629603840,0.5134601,237.5098,9.62267517875728,4.11632765834087,23.46181,21.82171,20.36312,19.45671,20.36312,boss,4303,843,55508,22.078100204467773,21.039600372314453,20.169300079345703,,,,,,
4844994231914485760,0.4089457,239.2318,9.8394532048257,3.94259998195375,24.98029,20.7788,19.02522,18.38002,19.02522,boss,4303,898,55508,--,--,--,,,,,,
4844993682158671872,0.442554,246.7118,9.80201229486397,3.97597797948808,22.25795,21.06154,19.33109,18.57348,19.33109,boss,4303,896,55508,21.767000198364258,20.307600021362305,19.42259979248047,,,,,,
4845015122635413504,0.3482465,261.7248,10.1589492883694,4.06850521419421,21.78906,20.38829,18.68287,18.09656,18.68287,boss,4303,974,55508,--,--,--,,,,,,
4845021994583087104,0.5931219,195.6852,10.4313140714989,3.97819664836234,24.77579,21.99253,20.49687,19.38992,20.49687,boss,4303,999,55508,--,21.60740089416504,20.438400268554688,,,,,,
