specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
5589175316595890176,0.5551993,206.3031,242.823658891135,36.6824699792812,23.98141,21.47554,20.03722,19.06145,20.03722,boss,4964,757,55749,21.308799743652344,20.848600387573242,19.996299743652344,,,,,,
5589183013177284608,0.3919141,204.8125,243.00881210044,36.7917308544678,23.0949,20.93276,19.30242,18.57782,19.30242,boss,4964,785,55749,21.577999114990234,20.17799949645996,19.4335994720459,,,,,,
5589185761956354048,0.5041352,257.8075,243.020144424238,36.6876051287229,23.41492,22.55895,20.8763,19.90137,20.8763,boss,4964,795,55749,--,21.630699157714844,20.71419906616211,,,,,,
5589175866351704064,0.5648341,294.7458,242.935007104027,36.7309046778745,22.96062,22.53392,20.84039,19.8181,20.84039,boss,4964,759,55749,--,--,21.51180076599121,,,,,,
5589183837811005440,0.3214966,204.6843,243.063666043829,36.6912975529499,21.85382,20.39927,18.77132,18.21029,18.77132,boss,4964,788,55749,--,21.104900360107422,--,,,,,,
5589184937322633216,0.3699212,249.9556,243.214852339521,36.6307994302284,26.16209,21.33288,19.50297,18.85309,19.50297,boss,4964,792,55749,21.927000045776367,20.790700912475586,20.11440086364746,,,,,,
5589185212200540160,0.5017966,232.4102,243.13249918087,36.5503242404413,26.08759,21.87842,20.27985,19.36298,20.27985,boss,4964,793,55749,22.19179916381836,20.896799087524414,20.077999114990234,,,,,,
5589186311712167936,0.480255,220.9208,243.182712655538,36.4961577287825,22.53225,21.7592,19.75415,18.87573,19.75415,boss,4964,797,55749,22.188499450683594,20.842199325561523,19.956600189208984,,,,,,
5589187411223795712,0.3151356,201.8646,243.381157550466,36.3930372768526,25.99501,20.52023,18.79013,18.20213,18.79013,boss,4964,801,55749,21.147600173950195,19.819799423217773,19.101499557495117,,,,,,
5589194832927283200,0.2955354,223.7948,243.373105850183,36.424614658389,22.07896,20.38897,18.73364,18.1862,18.73364,boss,4964,828,55749,21.2273006439209,19.878999710083008,19.196699142456055,,,,,,
5589196757072631808,0.4935242,171.4265,243.447715728448,36.4737200730183,23.42549,22.27645,20.59255,19.63963,20.59255,boss,4964,835,55749,22.164199829101562,21.46940040588379,20.31879997253418,,,,,,
5589198131462166528,0.2948905,217.0233,243.414441980991,36.4375678196894,22.58036,20.79355,19.10242,18.48548,19.10242,boss,4964,840,55749,--,--,--,,,,,,
5589199780729608192,0.333619,212.9779,243.494241996881,36.3240884628459,23.06206,20.42232,18.74484,18.07154,18.74484,boss,4964,846,55749,21.434900283813477,20.10610008239746,19.2052001953125,,,,,,
5589198681217980416,0.29559,198.5333,243.558755819687,36.3171318325767,21.37593,19.84641,18.28121,17.71276,18.28121,boss,4964,842,55749,--,--,--,,,,,,
5589198406340073472,0.2997703,216.6761,243.538166032992,36.305876735401,21.85842,21.11318,19.67078,18.89872,19.67078,boss,4964,841,55749,21.8164005279541,20.617900848388672,19.7278995513916,,,,,,
5589223420229605376,0.4157349,125.2793,243.989854711827,36.0087522825328,25.99019,21.54239,19.62062,18.95439,19.62062,boss,4964,932,55749,21.87459945678711,20.460800170898438,19.698200225830078,,,,,,
5589213524624955392,0.293459,255.1474,243.947900699745,36.0474299573302,21.29765,19.71949,18.18826,17.60952,18.18826,boss,4964,896,55749,20.738800048828125,19.52669906616211,18.685300827026367,,,,,,
5589213249747048448,0.5699764,244.8094,243.891900253236,35.8993987924807,25.41811,22.23674,20.40518,19.50371,20.40518,boss,4964,895,55749,22.023000717163086,21.43239974975586,--,,,,,,
5301882823376132096,0.5697033,158.3195,208.094514559215,40.0640736863775,22.26623,22.12653,20.80955,19.79706,20.80955,boss,4709,73,55720,--,21.144899368286133,20.29599952697754,,,,,,
5303204711012521984,0.5468184,222.6808,208.168037734396,40.1017539291872,24.08833,22.34434,20.40774,19.37645,20.40774,boss,4710,786,55707,--,20.77669906616211,19.963199615478516,,,,,,
5301883922887759872,0.5903811,73.68005,208.174684428654,40.1110459881083,21.58473,21.07829,20.16786,19.47937,20.16786,boss,4709,77,55720,21.66469955444336,21.154199600219727,20.64310073852539,,,,,,
5301872927771482112,0.5245249,272.9443,208.198376454466,40.1037206705989,22.67278,21.14232,19.39418,18.32898,19.39418,boss,4709,37,55720,21.70400047302246,20.67259979248047,19.944299697875977,,,,,,
5303206085402056704,0.524271,204.7184,208.198376454466,40.1037206705989,22.67278,21.14232,19.39418,18.32898,19.39418,boss,4710,791,55707,21.70400047302246,20.67259979248047,19.944299697875977,,,,,,
5303206910035777536,0.6175888,270.6561,208.168760142163,40.0073693756428,23.91479,22.43339,20.93002,19.71647,20.93002,boss,4710,794,55707,--,21.24810028076172,20.345199584960938,,,,,,
5301871003626133504,0.6173263,246.319,208.168760142163,40.0073693756428,23.91479,22.43339,20.93002,19.71647,20.93002,boss,4709,30,55720,--,21.24810028076172,20.345199584960938,,,,,,
5301872378015668224,0.4376069,327.4177,208.246635100593,40.0729082618354,23.93086,21.7127,19.70642,18.89458,19.70642,boss,4709,35,55720,21.875099182128906,20.25309944152832,19.614599227905273,,,,,,
5303207184913684480,0.4379677,323.791,208.246635100593,40.0729082618354,23.93086,21.7127,19.70642,18.89458,19.70642,boss,4710,795,55707,21.875099182128906,20.25309944152832,19.614599227905273,,,,,,
5303216530762520576,0.5263252,112.7203,208.289637848808,39.9264042061333,24.09877,22.15433,20.25105,19.25775,20.25105,boss,4710,829,55707,--,21.005300521850586,20.152599334716797,,,,,,
5301870453870319616,0.526213,288.5909,208.289637848808,39.9264042061333,24.09877,22.15433,20.25105,19.25775,20.25105,boss,4709,28,55720,--,--,21.08650016784668,,,,,,
