specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
5604945066932328448,0.5100273,233.1657,231.887601284664,37.9937573018124,24.42359,22.30797,20.64042,19.7977,20.64042,boss,4978,783,56036,,20.941200256347656,20.285200119018555,,,,,,,r-i,0.6560001373291016
5604945616688142336,0.5744988,194.7385,231.813098674825,38.0044154639183,26.77737,22.38441,20.67007,19.5615,20.67007,boss,4978,785,56036,,21.332599639892575,20.44729995727539,,,,,,,r-i,0.885299682617184
5605881850990188544,0.5743465,170.5775,231.813098674825,38.0044154639183,26.77737,22.38441,20.67007,19.5615,20.67007,boss,4979,95,56045,,21.44650077819824,,,,,,,,,
5604944517176514560,0.6167935,208.0622,231.88077834084,38.0850930727534,24.72128,22.55575,20.65702,19.50302,20.65702,boss,4978,781,56036,,21.225500106811523,20.29759979248047,,,,,,,r-i,0.9279003143310547
5604946716199770112,0.5069401,120.088,231.883879509781,38.0307616532651,23.88029,21.9585,20.59501,19.77693,20.59501,boss,4978,789,56036,21.56290054321289,20.971599578857425,20.274099349975582,,,,,,,g-r,0.5913009643554652
5605870855873910784,0.5067172,101.9874,231.883879509781,38.0307616532651,23.88029,21.9585,20.59501,19.77693,20.59501,boss,4979,55,56045,21.56290054321289,20.971599578857425,20.274099349975582,,,,,,,g-r,0.5913009643554652
5605870306118096896,0.5087194,161.7385,231.903116770957,37.9881735447722,23.86942,21.89639,20.04495,19.07549,20.04495,boss,4979,53,56045,22.041900634765625,20.82229995727539,20.12220001220703,,,,,,,g-r,1.2196006774902344
5604955512292792320,0.5137699,233.8243,231.972070824776,37.9765480710775,24.09027,22.10845,20.35254,19.38614,20.35254,boss,4978,821,56036,,20.858200073242188,19.951000213623047,,,,,,,r-i,0.9071998596191406
5604956062048606208,0.5090469,181.5675,232.031073965106,38.0478198505536,21.4036,21.07057,19.75872,18.92938,19.75872,boss,4978,823,56036,22.116300582885746,21.302400588989254,20.135099411010746,,,,,,,g-r,0.8138999938964915
5605871405629724672,0.5090925,199.329,232.031073965106,38.0478198505536,21.4036,21.07057,19.75872,18.92938,19.75872,boss,4979,57,56045,22.116300582885746,21.302400588989254,20.135099411010746,,,,,,,g-r,0.8138999938964915
5604957986193954816,0.3137232,201.0912,232.004489381323,37.9944985906549,22.49715,20.81211,19.16016,18.43442,19.16016,boss,4978,830,56036,22.03039932250977,20.31279945373535,19.69260025024414,,,,,,,g-r,1.7175998687744176
5605871955385538560,0.6309559,119.34,232.108808081459,38.0881764837799,26.67204,22.45787,20.94407,20.01676,20.94407,boss,4979,59,56045,,21.54540061950684,20.560400009155277,,,,,,,r-i,0.9850006103515625
5605869206606469120,0.5231031,203.2254,232.003363121911,37.9300816622704,24.77524,22.74527,20.71773,19.79467,20.71773,boss,4979,49,56045,,,21.334699630737305,,,,,,,,
5604956611804420096,0.5229801,189.9025,232.003363121911,37.9300816622704,24.77524,22.74527,20.71773,19.79467,20.71773,boss,4978,825,56036,,21.17959976196289,20.180200576782227,,,,,,,r-i,0.9993991851806641
5605869756362283008,0.4254067,213.0839,232.042428374049,37.897981292648,22.10488,21.71437,20.01186,19.23903,20.01186,boss,4979,51,56045,,20.86039924621582,20.215200424194336,,,,,,,r-i,0.6451988220214844
5603739452617021440,0.4255881,201.223,232.042428374049,37.897981292648,22.10488,21.71437,20.01186,19.23903,20.01186,boss,4977,493,56047,,20.86039924621582,20.215200424194336,,,,,,,r-i,0.6451988220214844
5603737803349579776,0.5232739,217.9649,232.08173868843,37.8646100800769,24.95059,22.30705,20.6512,19.69531,20.6512,boss,4977,487,56047,,21.13640022277832,20.2903995513916,,,,,,,r-i,0.8460006713867188
5604969256188139520,0.5235945,243.4135,232.08173868843,37.8646100800769,24.95059,22.30705,20.6512,19.69531,20.6512,boss,4978,871,56036,,21.13640022277832,20.2903995513916,,,,,,,r-i,0.8460006713867188
5604967606920697856,0.6405017,186.1777,232.158946679915,37.875679677104,25.52658,22.79865,20.88053,19.63049,20.88053,boss,4978,865,56036,,21.101999282836918,,,,,,,,,
5603740552128649216,0.6405959,209.8642,232.158946679915,37.875679677104,25.52658,22.79865,20.88053,19.63049,20.88053,boss,4977,497,56047,,21.113000869750977,20.229900360107425,,,,,,,r-i,0.8831005096435511
5603741101884463104,0.5999563,232.1599,232.314628357084,37.8616068575165,23.9485,22.26396,20.83078,19.71532,20.83078,boss,4977,499,56047,,21.350400924682617,20.67790031433105,,,,,,,r-i,0.672500610351566
5603740002372835328,0.4948828,180.9882,232.304422372319,37.8434369537662,25.38018,21.78465,20.2454,19.40525,20.2454,boss,4977,495,56047,22.1742000579834,21.042800903320312,20.27020072937012,,,,,,,g-r,1.131399154663086
