specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
5279411003653904384,0.3298282,218.4121,164.267696617201,42.6327355363534,24.91303,20.96976,19.15308,18.57646,19.15308,boss,4689,241,55656,21.268400192260746,19.822399139404297,19.33099937438965,,,,,,,g-r,1.4460010528564489
5279400008537626624,0.4829045,200.16,164.501187400221,42.6780015933985,24.66506,22.79294,20.74591,19.82083,20.74591,boss,4689,201,55656,,21.34670066833496,20.61870002746582,,,,,,,r-i,0.7280006408691406
5279400558293440512,0.5801746,219.733,164.52776939092,42.6666638857011,22.81806,21.84221,20.81496,19.85289,20.81496,boss,4689,203,55656,,21.31489944458008,21.064599990844727,,,,,,,r-i,0.2502994537353551
5641981561375315968,0.5995501,180.6711,236.250151164389,31.3222186893482,25.10147,22.27817,20.6695,19.69144,20.6695,boss,5011,353,55739,,21.244600296020508,20.269800186157227,,,,,,,r-i,0.9748001098632812
5641983210642757632,0.5630821,205.7612,236.189171653555,31.3483431291891,22.62239,22.57824,20.66754,19.51419,20.66754,boss,5011,359,55739,22.11829948425293,21.340499877929688,20.33300018310547,,,,,,,g-r,0.7777996063232422
5641981011619502080,0.5641449,203.1766,236.325095426721,31.2683515572628,23.14495,22.43911,20.52054,19.34233,20.52054,boss,5011,351,55739,22.185400009155277,21.41950035095215,20.312400817871094,,,,,,,g-r,0.7658996582031286
5641971665770665984,0.5357227,200.7139,236.389775738509,31.3414481052285,25.76982,22.1723,20.51138,19.57277,20.51138,boss,5011,317,55739,,,,,,,,,,,
5641981836253222912,0.5377614,233.3157,236.346886034082,31.2401295305787,25.51143,22.0892,20.57883,19.67858,20.57883,boss,5011,354,55739,,21.633399963378903,20.797800064086918,,,,,,,r-i,0.8355998992919851
5279466528991107072,0.3186143,277.355,163.305683057767,42.8848874020688,22.36068,19.82183,18.24222,17.67842,18.24222,boss,4689,443,55656,20.58169937133789,19.26639938354492,18.723800659179688,,,,,,,g-r,1.3152999877929723
5279465979235293184,0.6466829,208.2808,163.409897069955,42.8096374891969,25.48293,22.40387,20.55953,19.3198,20.55953,boss,4689,441,55656,,21.566999435424805,20.52389907836914,,,,,,,r-i,1.043100357055664
5279455533874829312,0.5129877,307.7674,163.606985769083,42.7544547944577,25.08191,22.04441,20.39377,19.47175,20.39377,boss,4689,403,55656,21.96080017089844,20.95479965209961,20.42110061645508,,,,,,,g-r,1.0060005187988317
5279456633386457088,0.5273042,307.4549,163.653124438508,42.8725819307406,23.26983,22.08139,20.51291,19.50591,20.51291,boss,4689,407,55656,,,19.000900268554688,,,,,,,,
5279433268764366848,0.3755718,251.7264,163.934600155266,42.8261785169206,23.54966,20.8335,19.07202,18.46139,19.07202,boss,4689,322,55656,21.535600662231445,19.907899856567383,19.352500915527344,,,,,,,g-r,1.6277008056640625
5279446188025993216,0.5007415,217.3915,163.852342039319,42.8948349743853,23.06496,22.03559,20.14636,19.29126,20.14636,boss,4689,369,55656,21.86199951171875,21.006200790405277,20.404300689697266,,,,,,,g-r,0.855798721313473
5279436842177157120,0.5142927,298.5598,163.871592445904,42.910216351791,22.12644,21.73247,20.34747,19.54819,20.34747,boss,4689,335,55656,21.992300033569336,21.00320053100586,20.46660041809082,,,,,,,g-r,0.9890995025634766
5279443989002737664,0.6836628,315.4821,163.856925941476,42.9525180647528,23.36246,22.42514,20.57203,19.50915,20.57203,boss,4689,361,55656,,21.18930053710937,20.2101993560791,,,,,,,r-i,0.9791011810302699
5279433543642273792,0.476808,245.3353,163.965206538739,42.8298622667666,23.53696,21.73408,20.26396,19.28616,20.26396,boss,4689,323,55656,21.99620056152344,20.940900802612305,20.263900756835938,,,,,,,g-r,1.0552997589111364
5279435192909715456,0.4771227,133.5199,163.956058146334,42.9403466959172,22.41766,21.91943,20.02673,19.17683,20.02673,boss,4689,329,55656,,21.35449981689453,20.654300689697266,,,,,,,r-i,0.7001991271972656
5279436292421343232,0.5219855,331.2271,163.962605416786,43.0201141804159,25.9853,22.2817,20.31475,19.2764,20.31475,boss,4689,333,55656,,20.905500411987305,20.03730010986328,,,,,,,r-i,0.8682003021240234
5279423648037623808,0.5399517,150.8112,163.992155434232,42.966057925278,25.42907,22.57161,20.71859,19.89634,20.71859,boss,4689,287,55656,,21.11429977416992,20.82069969177246,,,,,,,r-i,0.2936000823974574
5279403307072509952,0.4673177,217.9463,164.654675321491,43.0301421931867,24.87038,21.712,19.74749,18.86398,19.74749,boss,4689,213,55656,21.64780044555664,20.186199188232425,19.6028995513916,,,,,,,g-r,1.4616012573242152
5279402207560882176,0.4705048,111.4179,164.697653490064,43.0376013454581,26.29522,22.11201,20.17473,19.36368,20.17473,boss,4689,209,55656,,20.848499298095703,20.24209976196289,,,,,,,r-i,0.6063995361328125
5279402757316696064,0.661287,138.3059,164.640219904318,43.090069874166,26.48978,22.1621,20.45729,19.26121,20.45729,boss,4689,211,55656,,21.622499465942383,20.73450088500977,,,,,,,r-i,0.8879985809326136
5279389563177162752,0.4644217,339.9028,164.946309210623,43.1536253066012,23.07749,21.84148,20.23094,19.41086,20.23094,boss,4689,163,55656,22.420799255371094,20.877199172973636,20.14520072937012,,,,,,,g-r,1.5436000823974574
5279391212444604416,0.486019,235.3448,164.960214974966,43.2058226098811,24.05522,22.43396,20.52107,19.54182,20.52107,boss,4689,169,55656,22.083799362182617,20.87030029296875,20.12660026550293,,,,,,,g-r,1.2134990692138672
5279391487322511360,0.200261,227.6155,165.071538002062,43.1445239357066,22.30903,19.3618,17.91557,17.37326,17.91557,boss,4689,170,55656,,19.901199340820312,20.22260093688965,,,,,,,r-i,-0.32140159606933594
5279390112932976640,0.4877091,201.0351,165.010613590933,43.2053632792811,25.37258,22.10764,20.2935,19.47456,20.2935,boss,4689,165,55656,,,20.03899955749512,,,,,,,,
5279390662688790528,0.6061083,251.459,165.042626557766,43.2100600513744,25.51868,22.39573,20.64016,19.57014,20.64016,boss,4689,167,55656,,21.266700744628903,20.32169914245605,,,,,,,r-i,0.9450016021728516
5279389013421348864,0.4860802,256.3354,165.081852035541,43.1749253707088,24.91399,21.82639,19.98301,19.18239,19.98301,boss,4689,161,55656,22.191699981689453,20.725500106811523,19.93549919128418,,,,,,,g-r,1.4661998748779297
