specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
4902403312480180224,0.4565005,166.8708,0.893846213794035,-1.78869818594993,25.37935,21.84942,20.00736,19.18348,20.00736,boss,4354,855,55810,21.99570083618164,20.814899444580078,20.22410011291504,,,,,,
4902412933206923264,0.2968774,242.9707,1.03722012914275,-1.86112444372698,22.11074,20.34841,18.68084,18.11015,18.68084,boss,4354,890,55810,--,--,17.47330093383789,,,,,,
4902422004177852416,0.6193487,229.353,1.05703388540945,-1.8530625575193,25.85403,21.11661,20.06917,18.88817,20.06917,boss,4354,923,55810,--,21.4768009185791,20.67970085144043,,,,,,
4902421454422038528,0.4176117,202.3373,1.13219161272372,-1.82228389930395,22.58768,21.57849,20.01913,19.24423,20.01913,boss,4354,921,55810,--,--,--,,,,,,
4902421729299945472,0.4262138,281.3615,1.17661453857612,-1.81458813195001,23.79221,21.23892,19.44508,18.69855,19.44508,boss,4354,922,55810,--,--,--,,,,,,
4902426402224363520,0.4536283,100.1068,1.18459763165031,-1.79548066383526,24.15987,21.78934,20.17362,19.39986,20.17362,boss,4354,939,55810,--,21.45560073852539,--,,,,,,
4902432174660409344,0.4839359,214.3511,1.23612808683676,-1.70247349425823,21.91585,21.02157,19.2872,18.56232,19.2872,boss,4354,960,55810,21.65530014038086,20.090499877929688,19.597700119018555,,,,,,
4902432449538316288,0.4944128,247.5256,1.27463435898918,-1.80057933072061,21.63171,21.54661,20.15826,19.31919,20.15826,boss,4354,961,55810,21.342899322509766,--,--,,,,,,
4902419530276689920,0.4825497,386.2645,1.20157150789161,-1.68035294330258,26.23239,22.46549,20.70782,19.7956,20.70782,boss,4354,914,55810,--,--,21.55500030517578,,,,,,
4902434098805757952,0.4933236,145.3966,1.32716009387283,-1.85600445885747,22.5104,22.44868,20.90191,19.96901,20.90191,boss,4354,967,55810,--,21.34779930114746,20.618099212646484,,,,,,
4902432999294130176,0.5050683,189.7477,1.3752293706273,-1.78365068637878,24.41025,22.38606,20.89814,19.9624,20.89814,boss,4354,963,55810,--,21.08530044555664,20.397899627685547,,,,,,
4902435198317385728,0.6129468,216.3685,1.41387863375674,-1.8551998905476,26.05352,22.20981,20.74017,19.69009,20.74017,boss,4354,971,55810,22.285600662231445,21.107900619506836,20.187000274658203,,,,,,
4902433823927851008,0.4173706,279.3308,1.45118100875939,-1.76994865856558,22.03473,20.38397,18.65908,17.95408,18.65908,boss,4354,966,55810,21.824199676513672,20.101299285888672,19.623899459838867,,,,,,
4902433274172037120,0.6067647,283.4891,1.45970527403384,-1.72863473588975,25.17553,22.21513,20.65312,19.61385,20.65312,boss,4354,964,55810,21.587400436401367,21.24020004272461,20.278900146484375,,,,,,
4902438496852269056,0.5828181,321.6791,1.50022740386359,-1.69569364376972,24.82952,21.15923,19.79207,18.69913,19.79207,boss,4354,983,55810,21.250600814819336,--,--,,,,,,
4902437947096455168,0.606925,376.0798,1.53024873008722,-1.66134573841444,22.67439,21.8195,20.33768,19.33826,20.33768,boss,4354,981,55810,--,--,--,,,,,,
4902439046608082944,0.4785838,258.878,1.54998389797998,-1.75373676061381,23.2306,22.00809,20.68809,19.76055,20.68809,boss,4354,985,55810,--,21.28580093383789,20.65489959716797,,,,,,
4902439596363896832,0.3976194,138.4375,1.55518955748495,-1.79029155938024,22.74228,22.07606,20.83376,20.1046,20.83376,boss,4354,987,55810,21.74410057067871,21.290599822998047,--,,,,,,
4902439871241803776,0.5821459,166.2733,1.60125085212793,-1.86383643303973,23.41732,22.53001,20.81661,19.8949,20.81661,boss,4354,988,55810,21.791799545288086,21.700199127197266,21.117799758911133,,,,,,
4904569350705666048,0.4815097,298.3023,355.522756423944,-1.40909795306269,23.75418,21.63971,19.78707,18.83231,19.78707,boss,4356,543,55829,22.006799697875977,--,--,,,,,,
4904571549728921600,0.5267308,135.2779,355.544849662699,-1.38979784549107,26.93268,22.41172,20.77387,19.58314,20.77387,boss,4356,551,55829,--,20.970300674438477,--,,,,,,
4904569075827759104,0.3020267,240.9617,355.65718214704,-1.29408074516443,22.98018,20.43708,18.80151,18.19417,18.80151,boss,4356,542,55829,--,20.084999084472656,--,,,,,,
4904570450217293824,0.5270637,286.284,355.702854244964,-1.34236870126807,22.15261,21.82574,20.33873,19.29635,20.33873,boss,4356,547,55829,--,--,--,,,,,,
4904580070944036864,0.2665711,202.2272,355.846440206391,-1.41261982351765,23.00744,19.67187,18.14203,17.56499,18.14203,boss,4356,582,55829,--,--,20.72450065612793,,,,,,
4904595738984732672,0.4477029,220.7882,355.983884615344,-1.41231689915549,26.12817,21.33379,19.50417,18.76799,19.50417,boss,4356,639,55829,21.800800323486328,20.355499267578125,19.55940055847168,,,,,,
4904579796066129920,0.45395,179.7533,355.943570476751,-1.41983564749448,23.43111,22.42895,20.78321,19.8708,20.78321,boss,4356,581,55829,--,--,--,,,,,,
4904595189228918784,0.4205549,197.682,356.074320392245,-1.31196104234878,26.07156,21.95829,20.40726,19.58047,20.40726,boss,4356,637,55829,--,--,--,,,,,,
4904592165571942400,0.2805268,223.6637,356.226515694999,-1.28767343143029,22.53873,20.1459,18.50938,17.90055,18.50938,boss,4356,626,55829,20.782699584960938,19.532400131225586,19.08679962158203,,,,,,
4904594089717291008,0.4201715,295.4568,356.087724503017,-1.39695937309967,23.11317,21.96833,20.36668,19.58715,20.36668,boss,4356,633,55829,--,--,--,,,,,,
4904593814839384064,0.4199378,262.0886,356.105492405392,-1.36722558292084,23.09381,20.72687,18.94718,18.23425,18.94718,boss,4356,632,55829,21.543800354003906,20.017099380493164,19.375099182128906,,,,,,
4904593265083570176,0.263146,236.3141,356.153764304778,-1.32535682166183,21.66347,20.37079,18.86173,18.1251,18.86173,boss,4356,630,55829,21.74329948425293,20.412599563598633,19.809799194335938,,,,,,
4904595464106825728,0.4174662,280.0947,356.160640596105,-1.37574208776496,22.18576,20.84063,19.1268,18.38942,19.1268,boss,4356,638,55829,21.572999954223633,20.03619956970215,19.355899810791016,,,,,,
5452915041451137024,0.6236331,201.9882,119.998925979602,8.30629753467812,24.81371,22.49314,20.72572,19.82266,20.72572,boss,4843,661,55860,--,21.41710090637207,20.658199310302734,,,,,,
4940482419210082304,0.4511514,227.9571,38.0805638367546,-7.64011978779441,22.04668,22.02175,20.07135,19.20365,20.07135,boss,4388,122,55536,--,21.14459991455078,20.503000259399414,,,,,,
4940471149215897600,0.5523989,216.5978,38.1045892289659,-7.66204592834549,24.79287,21.67529,19.95719,19.09354,19.95719,boss,4388,81,55536,21.59280014038086,20.33340072631836,19.65690040588379,,,,,,
4940471698971711488,0.4746552,214.2651,38.4226324623377,-7.47202458914423,22.1984,21.03929,19.55869,18.80017,19.55869,boss,4388,83,55536,21.804000854492188,20.53459930419922,20.072399139404297,,,,,,
4940460154099619840,0.4755821,172.5164,38.5021715534717,-7.35941705034353,26.16897,21.67647,20.28382,19.42421,20.28382,boss,4388,41,55536,22.061100006103516,20.952999114990234,20.401199340820312,,,,,,
4940460703855433728,0.609754,321.9988,38.5914109030079,-7.30629527085634,23.80799,21.87646,20.16558,19.01849,20.16558,boss,4388,43,55536,--,21.437299728393555,20.566200256347656,,,,,,
4940461803367061504,0.5925406,166.8268,38.5922733681436,-7.22634410208028,23.22235,22.97528,20.76425,19.57909,20.76425,boss,4388,47,55536,--,21.429500579833984,20.572599411010742,,,,,,
4940460978733340672,0.4765879,162.1548,38.6669387833587,-7.30249838883751,24.43119,21.91047,20.53576,19.73177,20.53576,boss,4388,44,55536,21.867000579833984,21.199399948120117,20.674699783325195,,,,,,
4940499736518219776,0.4465679,141.6339,37.5862430859187,-7.53710367721469,24.02834,22.2847,20.60031,19.76556,20.60031,boss,4388,185,55536,22.05340003967285,20.987899780273438,20.327699661254883,,,,,,
4940494788715894784,0.4460823,191.796,37.6679804397574,-7.62412065202136,24.8213,21.53995,20.20372,19.40998,20.20372,boss,4388,167,55536,22.073699951171875,20.834199905395508,20.293500900268555,,,,,,
4940493414326360064,0.1791852,228.6609,37.7058708268013,-7.47650937115875,20.95012,18.84883,17.60781,17.09322,17.60781,boss,4388,162,55536,--,--,20.55430030822754,,,,,,
4940482694087989248,0.5057538,202.7984,38.0336664018665,-7.33082506102864,22.66752,21.73765,20.39654,19.54184,20.39654,boss,4388,123,55536,21.748199462890625,21.088300704956055,20.399499893188477,,,,,,
4940483793599617024,0.4691043,196.4145,37.99286093746,-7.1859726081113,26.45797,21.55413,19.97328,19.14619,19.97328,boss,4388,127,55536,--,--,--,,,,,,
