specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
5591392481172543488,0.4481483,260.847,237.586068266084,34.1400129725618,23.36705,21.38051,19.69755,18.89441,19.69755,boss,4966,631,55712,21.76650047302246,20.6112003326416,19.85300064086914,,,,,,,g-r,1.1553001403808594
5591392756050450432,0.3801327,205.268,237.673132672637,34.1156164672856,23.83713,21.12501,19.4179,18.72909,19.4179,boss,4966,632,55712,22.158599853515625,,,,,,,,,,
5591391381660915712,0.4448113,154.9257,237.661230294499,34.0944702670956,22.38823,22.3881,20.66931,19.71682,20.66931,boss,4966,627,55712,,21.339799880981445,20.481300354003903,,,,,,,r-i,0.8584995269775426
5591401552143472640,0.4312851,228.6664,237.830253966781,34.1164781690137,22.03888,20.76766,19.1599,18.47474,19.1599,boss,4966,664,55712,21.903099060058597,20.765300750732425,20.060300827026367,,,,,,,g-r,1.1377983093261719
5591405950189983744,0.3382275,156.8411,238.005446361882,34.0496838766153,23.01693,20.4012,18.6454,18.02143,18.6454,boss,4966,680,55712,,20.656099319458008,19.818300247192383,,,,,,,r-i,0.837799072265625
5591415296038819840,0.3503737,171.7327,238.055088746879,34.0350584372737,23.24374,21.17593,19.31464,18.72474,19.31464,boss,4966,714,55712,,22.0762996673584,,,,,,,,,
5591415570916726784,0.4315411,232.4993,238.092122913788,33.8618750658463,23.371,21.1294,19.29944,18.49938,19.29944,boss,4966,715,55712,,22.118000030517575,,,,,,,,,
5595755898553522176,0.4313315,188.7884,238.092122913788,33.8618750658463,23.371,21.1294,19.29944,18.49938,19.29944,boss,4970,121,56039,,22.118000030517575,,,,,,,,,
5591416945306261504,0.3869728,235.3302,238.180617360344,33.7532626679498,24.24069,20.92197,19.21396,18.57661,19.21396,boss,4966,720,55712,21.62420082092285,20.224899291992188,19.453500747680664,,,,,,,g-r,1.399301528930664
5595756448309336064,0.5396267,206.404,238.111593371013,33.7831820600298,22.90359,21.64007,20.25543,19.29994,20.25543,boss,4970,123,56039,22.06049919128418,21.17530059814453,20.177000045776367,,,,,,,g-r,0.8851985931396484
5591416670428354560,0.5664554,230.0486,238.254991713415,33.7830932713263,25.26884,22.47344,20.89678,19.76503,20.89678,boss,4966,719,55712,,21.579099655151367,20.5585994720459,,,,,,,r-i,1.0205001831054688
5591425741399283712,0.5170431,169.0295,238.348964648525,33.8243970816053,25.55917,22.10608,20.41602,19.46556,20.41602,boss,4966,752,55712,,21.0442008972168,20.13050079345703,,,,,,,r-i,0.9137001037597692
5591424641887655936,0.4721372,293.0764,238.361756430443,33.7653581610586,23.66556,21.69184,19.69507,18.79285,19.69507,boss,4966,748,55712,22.138900756835938,20.65130043029785,19.78969955444336,,,,,,,g-r,1.487600326538086
5591418319695796224,0.4718328,162.4053,238.310849846385,33.7641909369393,23.80291,22.06278,20.50794,19.65503,20.50794,boss,4966,725,55712,22.1466007232666,20.89109992980957,20.053300857543945,,,,,,,g-r,1.2555007934570312
5591421068474865664,0.4720408,231.3669,238.270089199679,33.6594480343787,23.13328,21.54438,19.95948,19.08849,19.95948,boss,4966,735,55712,22.137800216674805,20.935400009155277,19.9601993560791,,,,,,,g-r,1.2024002075195277
5591424916765562880,0.472199,315.7858,238.396061441429,33.7459997920006,23.63699,22.01238,20.60709,19.80298,20.60709,boss,4966,749,55712,22.23419952392578,20.9955997467041,20.401199340820312,,,,,,,g-r,1.2385997772216797
5591430689201608704,0.472819,158.5932,238.408229733498,33.7268257309788,22.8166,22.08255,20.52901,19.6831,20.52901,boss,4966,770,55712,22.206899642944336,21.150999069213867,20.32469940185547,,,,,,,g-r,1.0559005737304688
5591417769939982336,0.5667908,252.9426,238.36182771515,33.6671524968702,22.90074,22.0727,20.4561,19.39362,20.4561,boss,4966,723,55712,21.44890022277832,,,,,,,,,,
5591428215300446208,0.5765843,333.5382,238.460680367102,33.7462927262329,24.93366,22.42183,20.52077,19.53389,20.52077,boss,4966,761,55712,,21.369199752807617,20.348499298095703,,,,,,,r-i,1.020700454711914
5591429314812073984,0.5610623,232.4884,238.379465917614,33.6242108115873,25.34291,22.26075,20.48859,19.35687,20.48859,boss,4966,765,55712,,,,,,,,,,,
5591428765056260096,0.5774021,381.2836,238.493179638975,33.7395843042611,23.16802,21.84333,20.60303,19.82638,20.60303,boss,4966,763,55712,22.03199958801269,21.19529914855957,20.3971004486084,,,,,,,g-r,0.8367004394531214
5591433163102771200,0.5736421,154.3888,238.479712427588,33.6637107417449,24.08442,22.37969,20.38222,19.42662,20.38222,boss,4966,779,55712,22.200300216674805,,,,,,,,,,
5591429589689980928,0.5741635,287.5411,238.520713352834,33.7016516446867,25.10351,22.42155,20.85819,19.66295,20.85819,boss,4966,766,55712,,21.444499969482425,20.46929931640625,,,,,,,r-i,0.9752006530761754
5591444158219048960,0.5727077,181.1503,238.574587608694,33.7051201649396,22.79874,21.90775,20.9234,19.82163,20.9234,boss,4966,819,55712,21.442800521850582,,,,,,,,,,
5591443333585328128,0.4394916,217.1358,238.565266328244,33.6086016201526,22.11003,20.77419,19.16964,18.48169,19.16964,boss,4966,816,55712,21.681900024414062,20.51189994812012,19.798799514770508,,,,,,,g-r,1.1700000762939418
5591441959195793408,0.6119645,196.7812,238.605202736589,33.5301957752436,23.59143,22.743,20.9305,19.78635,20.9305,boss,4966,811,55712,,21.447399139404297,20.451000213623047,,,,,,,r-i,0.99639892578125
5591440309928351744,0.4316197,182.7477,238.641593365854,33.4754399802525,24.24971,21.96775,20.37011,19.59935,20.37011,boss,4966,805,55712,22.0,20.9153995513916,20.249099731445312,,,,,,,g-r,1.0846004486083984
5591450755288815616,0.6374804,278.3211,238.872613279881,33.5300817147095,22.76044,22.1163,20.50546,19.40255,20.50546,boss,4966,843,55712,21.79560089111328,22.012399673461918,,,,,,,,g-r,-0.21679878234863637
5591451305044629504,0.5609649,161.4808,238.901546454783,33.5080414200469,21.89596,21.18767,20.12573,19.30293,20.12573,boss,4966,845,55712,21.83270072937012,20.968799591064453,20.32410049438477,,,,,,,g-r,0.8639011383056676
5591451579922536448,0.2276125,214.4475,238.978696106822,33.4376575841517,21.47392,19.19064,17.81577,17.3056,17.81577,boss,4966,846,55712,,,19.76460075378418,,,,,,,,
5591450205533001728,0.5693475,257.007,239.054980052836,33.1901360698567,22.95506,21.93579,20.37743,19.47161,20.37743,boss,4966,841,55712,,21.269699096679688,20.422399520874023,,,,,,,r-i,0.8472995758056641
5591465598695790592,0.4559899,127.4525,239.248184420368,33.1808499977852,24.68701,22.29319,20.72378,19.73403,20.72378,boss,4966,897,55712,,20.96820068359375,20.126300811767575,,,,,,,r-i,0.8418998718261754
5591463124794628096,0.3182061,219.3161,239.164716698718,33.256491622992,21.47262,19.79972,18.23123,17.65295,18.23123,boss,4966,888,55712,21.074199676513672,19.81369972229004,19.18600082397461,,,,,,,g-r,1.2604999542236328
5591461200649279488,0.4549955,193.8488,239.219417912866,33.2904702955878,22.81904,21.66849,19.9997,19.15087,19.9997,boss,4966,881,55712,22.05389976501465,20.82439994812012,20.047700881958008,,,,,,,g-r,1.2294998168945277
5591464499184162816,0.3182033,68.08688,239.236161857682,33.1407071672845,24.90214,21.76762,20.15337,19.33761,20.15337,boss,4966,893,55712,22.28499984741211,21.04520034790039,20.401599884033203,,,,,,,g-r,1.2397994995117188
7110125085621770240,0.4987909,293.4873,253.211231640977,48.2821471760648,24.08908,21.30271,19.53381,18.6546,19.53381,boss,6315,244,56181,21.658100128173828,20.489200592041016,19.665599822998047,,,,,,,g-r,1.1688995361328125
7110135256104327168,0.5475006,251.8889,253.049613784127,48.2113557971489,25.27716,22.2785,20.55099,19.50745,20.55099,boss,6315,281,56181,21.776199340820312,21.37070083618164,20.495500564575195,,,,,,,g-r,0.4054985046386719
7110136355615954944,0.498021,192.7352,253.085303842663,48.0578119066447,23.31944,22.59071,20.90804,19.93517,20.90804,boss,6315,285,56181,,21.18560028076172,20.34959983825684,,,,,,,r-i,0.8360004425048793
7110127834400839680,0.3883736,274.709,253.242268299872,48.0672448428071,26.62018,20.81618,18.92633,18.29331,18.92633,boss,6315,254,56181,,,,,,,,,,,
7110125635377584128,0.3904374,267.2899,253.331680846438,48.0325552653419,22.64926,21.01168,19.12173,18.47404,19.12173,boss,6315,246,56181,,,19.791000366210938,,,,,,,,
7109181979690817536,0.1321277,178.4069,250.585300179649,51.8961241247769,21.50585,18.54158,17.25694,16.60155,17.25694,boss,6314,909,56191,19.474899291992188,18.43149948120117,17.94930076599121,,,,,,,g-r,1.0433998107910192
7109181704812910592,0.1994244,222.8415,250.721070172695,51.8783800370612,21.66593,19.10789,17.73703,17.19435,17.73703,boss,6314,908,56191,20.133399963378903,18.99740028381348,18.50189971923828,,,,,,,g-r,1.1359996795654226
7109179780667561984,0.1895801,157.2177,250.6403677856,51.9855053648911,22.462,19.69326,18.27493,17.67498,18.27493,boss,6314,901,56191,20.65449905395508,19.3700008392334,18.96789932250977,,,,,,,g-r,1.2844982147216832
7109180055545468928,0.3159025,195.353,250.717685222974,51.9589710627178,25.55554,20.29604,18.56511,17.94978,18.56511,boss,6314,902,56191,21.05769920349121,19.657899856567383,19.099300384521484,,,,,,,g-r,1.3997993469238281
7109181429935003648,0.6326018,189.3369,250.651175672714,51.9007663294625,22.91216,21.74016,20.66806,19.77551,20.66806,boss,6314,907,56191,,21.554000854492188,20.97030067443848,,,,,,,r-i,0.5837001800537074
7109192150173374464,0.2665295,261.8557,250.876537014249,51.7977084184844,22.10409,19.64507,18.11894,17.55203,18.11894,boss,6314,946,56191,,,,,,,,,,,
7109193524562909184,0.523033,47.77542,250.928976919863,51.8420603782707,21.8949,21.39879,20.43656,19.71147,20.43656,boss,6314,951,56191,21.54290008544922,20.99959945678711,21.35700035095215,,,,,,,g-r,0.5433006286621094
7109195173830350848,0.505502,111.4961,250.988503236741,51.6720624846176,24.82198,21.72643,20.44653,19.72364,20.44653,boss,6314,957,56191,21.956300735473636,20.967300415039062,20.486099243164062,,,,,,,g-r,0.9890003204345739
7109183354080352256,0.2937882,291.5918,250.911889586969,51.6529591581157,21.53891,19.18365,17.54814,16.94304,17.54814,boss,6314,914,56191,,,19.674299240112305,,,,,,,,
7109194624074536960,0.4753394,178.1159,250.984918356197,51.7107654608152,25.99463,21.98682,20.2066,19.36151,20.2066,boss,6314,955,56191,,,,,,,,,,,
7109184453591980032,0.1941417,204.3263,250.837865446504,51.5554875532665,20.83119,18.84956,17.57661,17.04987,17.57661,boss,6314,918,56191,19.789499282836918,18.84280014038086,18.3080997467041,,,,,,,g-r,0.9466991424560582
7109183903836166144,0.2016078,236.697,250.888473214804,51.5763552733302,20.81034,19.05652,17.80328,17.23737,17.80328,boss,6314,916,56191,20.166200637817383,19.17930030822754,18.613500595092773,,,,,,,g-r,0.9869003295898438
7109194074318723072,0.4355164,211.5209,251.117511401451,51.6524563398086,22.52978,21.05931,19.37314,18.54271,19.37314,boss,6314,953,56191,,,20.327699661254883,,,,,,,,
7109184178714073088,0.4745295,30.89445,250.854208433187,51.5311633628612,25.28509,21.54704,20.18128,19.3329,20.18128,boss,6314,917,56191,22.06180000305176,20.911800384521484,20.27300071716309,,,,,,,g-r,1.149999618530277
7109186927493142528,0.4789099,219.2868,250.999619607739,51.5006883313844,25.04994,22.00792,20.30638,19.4673,20.30638,boss,6314,927,56191,22.02389907836914,20.60650062561035,19.890100479125977,,,,,,,g-r,1.417398452758789
7109196548219885568,0.351685,200.2454,251.125467518904,51.4737566175311,25.6098,20.33603,18.58149,18.00004,18.58149,boss,6314,962,56191,17.690500259399414,,,,,,,,,,
7109196273341978624,0.3971682,214.9314,251.125703552884,51.4047975454687,23.39758,21.74919,20.20973,19.4585,20.20973,boss,6314,961,56191,21.971900939941406,20.759300231933597,20.171600341796875,,,,,,,g-r,1.212600708007809
7109197372853606400,0.4530302,253.537,251.273247530457,51.4548060534299,23.26828,21.79993,20.11141,19.31966,20.11141,boss,6314,965,56191,,,20.757999420166016,,,,,,,,
7109197922609420288,0.452412,228.5931,251.101878937491,51.3711590937076,24.24903,22.26356,20.49521,19.65911,20.49521,boss,6314,967,56191,21.981000900268555,20.71969985961914,19.96299934387207,,,,,,,g-r,1.261301040649414
7109198472365234176,0.4516315,272.2248,251.032575942429,51.3425609749817,22.5823,21.35093,19.6327,18.89393,19.6327,boss,6314,969,56191,,20.055099487304688,,,,,,,,,
7109204794557093888,0.2875823,203.9569,251.327940881678,51.3120102357632,23.44916,19.87629,18.25504,17.66944,18.25504,boss,6314,992,56191,20.60449981689453,19.33429908752441,18.78199958801269,,,,,,,g-r,1.2702007293701207
7109199022121048064,0.5265172,254.0965,251.139280896478,51.3055236491808,23.68994,22.48697,20.71094,19.64373,20.71094,boss,6314,971,56191,,,,,,,,,,,
7109205894068721664,0.2971352,236.2087,251.438674707843,51.237306280116,23.12538,20.49066,18.81122,18.19082,18.81122,boss,6314,996,56191,20.972400665283203,19.56529998779297,18.94529914855957,,,,,,,g-r,1.4071006774902344
7109206443824535552,0.3394219,232.9681,251.603924484736,50.8976329321136,23.77254,20.3427,18.58524,17.94308,18.58524,boss,6314,998,56191,21.26210021972656,19.823400497436523,19.265499114990234,,,,,,,g-r,1.4386997222900355
7109206993580349440,0.4230714,260.2447,251.72860231629,50.9285177006543,23.40095,21.18476,19.35778,18.68167,19.35778,boss,6314,1000,56191,,21.36840057373047,,,,,,,,,
7108942835911776256,0.4279972,232.7596,251.594564881956,50.8345365983227,25.05599,22.10333,20.23261,19.42076,20.23261,boss,6314,39,56191,,20.31800079345703,,,,,,,,,
7110217719476410368,0.2527947,24.57995,251.997984063932,50.5020284704231,25.02596,21.94193,20.67332,19.8316,20.67332,boss,6315,581,56181,,21.07620048522949,20.72590065002441,,,,,,,r-i,0.3502998352050781
7110221567767107584,0.6518096,229.874,252.223111054919,50.3619949085735,25.09029,22.30985,20.62096,19.23567,20.62096,boss,6315,595,56181,,21.5226993560791,20.444000244140625,,,,,,,r-i,1.0786991119384766
7110231463371757568,0.2971586,222.7323,252.280398602276,50.1618622175367,24.6583,20.75942,19.0648,18.43389,19.0648,boss,6315,631,56181,20.71310043334961,19.456100463867188,18.834400177001957,,,,,,,g-r,1.2569999694824219
7110221292889200640,0.3586309,149.6297,252.192866530843,50.1249258614483,26.04372,20.71355,19.00663,18.38391,19.00663,boss,6315,594,56181,21.5629997253418,20.31789970397949,19.884300231933597,,,,,,,g-r,1.2451000213623118
7110232013127571456,0.1747337,160.1099,252.464966820244,50.0640536187084,21.38335,19.27638,17.97367,17.33411,17.97367,boss,6315,633,56181,20.3341007232666,19.37030029296875,18.803699493408203,,,,,,,g-r,0.9638004302978516
