specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
7689003943435982848,0.5943059,142.9052,203.302099503342,57.5242161399541,23.93788,22.3537,20.85374,19.88559,20.85374,boss,6829,849,56453,,21.19440078735352,20.54010009765625,,,,,,,r-i,0.6543006896972692
7689016038063888384,0.5680316,238.8702,203.61041438794,57.4823710232247,24.69037,22.32552,20.6278,19.60682,20.6278,boss,6829,893,56453,,21.105300903320312,20.19729995727539,,,,,,,r-i,0.9080009460449219
7689027857813886976,0.4020324,215.5258,203.729416659535,57.4247423331794,23.24675,21.2449,19.49341,18.77639,19.49341,boss,6829,936,56453,,21.13360023498535,21.79159927368164,,,,,,,r-i,-0.6579990386962891
7689028132691793920,0.5977676,244.3279,203.625100114456,57.5301340266792,23.16417,22.51989,20.91735,19.85525,20.91735,boss,6829,937,56453,,,20.649200439453125,,,,,,,,
7689028682447607808,0.4008512,230.5353,203.741658067231,57.3967713615149,23.28768,21.18004,19.86535,19.13597,19.86535,boss,6829,939,56453,21.948400497436523,20.902000427246094,20.41270065307617,,,,,,,g-r,1.0464000701904297
7688781292331358208,0.5572535,207.5648,204.526137405163,57.4101182746759,22.59514,21.91257,20.03032,19.10462,20.03032,boss,6829,39,56453,21.39559936523437,,,,,,,,,,
7688781567209265152,0.2389594,216.3674,204.597147903665,57.4009009530969,21.01384,18.71894,17.31741,16.77751,17.31741,boss,6829,40,56453,,,,,,,,,,,
7688775519895312384,0.3220956,211.3882,204.795652075357,57.3191359009119,22.10686,20.32424,18.58889,18.03674,18.58889,boss,6829,18,56453,21.29319953918457,19.712099075317383,19.184499740600582,,,,,,,g-r,1.5811004638671875
7688774970139498496,0.4083844,197.631,204.799457263818,57.2791920986756,22.35139,21.00778,19.15767,18.47432,19.15767,boss,6829,16,56453,21.86389923095703,20.1968994140625,19.76059913635254,,,,,,,g-r,1.6669998168945312
7688919555918551040,0.2474719,282.0419,200.241872767892,58.3325194360429,21.28405,19.65448,18.18686,17.63943,18.18686,boss,6829,542,56453,19.90279960632324,18.758899688720703,18.442699432373047,,,,,,,g-r,1.1438999176025355
