specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm,color_name,color_value
6805015555189528576,0.2581733,271.9509,243.40865214745,41.8655110472696,21.88786,19.55948,18.13304,17.55199,18.13304,boss,6044,278,56090,20.48419952392578,19.114500045776367,18.61319923400879,,,,,,,g-r,1.369699478149414
6805026275427899392,0.5776695,209.6254,243.319629298343,41.7867384997423,25.7657,22.6801,20.96977,19.68559,20.96977,boss,6044,317,56090,,21.449800491333008,20.212299346923828,,,,,,,r-i,1.2375011444091797
6805024626160457728,0.595665,310.3518,243.267274501968,41.743230525783,25.4825,22.57828,20.69163,19.51091,20.69163,boss,6044,311,56090,,21.667600631713867,20.368000030517575,,,,,,,r-i,1.2996006011962926
6805023526648829952,0.5936782,263.1038,243.316263440427,41.7400469802713,25.97729,22.27274,20.6088,19.54543,20.6088,boss,6044,307,56090,,,20.488300323486328,,,,,,,,
6805000436904646656,0.3452393,225.8599,243.787717417299,41.4670870852428,26.3041,21.10269,19.39517,18.7066,19.39517,boss,6044,223,56090,21.77790069580078,20.461599349975582,19.83989906311035,,,,,,,g-r,1.3163013458251989
6804997688125577216,0.4208841,254.9739,243.882420147363,41.2532075418713,24.91506,21.4687,19.76185,18.95322,19.76185,boss,6044,213,56090,22.02020072937012,20.55139923095703,19.813100814819336,,,,,,,g-r,1.4688014984130895
6804974048625580032,0.5241548,190.63,244.380160527506,41.052980413529,25.40409,22.01918,20.26096,19.3516,20.26096,boss,6044,127,56090,21.92840003967285,20.642900466918945,19.78580093383789,,,,,,,g-r,1.2854995727539062
6804975148137207808,0.5782099,89.57954,244.331766244182,41.0541006156754,22.79121,21.78416,20.82634,19.97832,20.82634,boss,6044,131,56090,,21.435800552368164,20.79850006103516,,,,,,,r-i,0.6373004913330043
6804972949113952256,0.6030477,165.5406,244.351687049732,40.8587368803277,22.59112,21.4747,20.19641,19.41415,20.19641,boss,6044,123,56090,,,21.48699951171875,,,,,,,,
6804972399358138368,0.3787915,188.0179,244.3851718388,40.8545191575738,24.03153,21.54474,20.02609,19.26417,20.02609,boss,6044,121,56090,22.03089904785156,20.61009979248047,20.05459976196289,,,,,,,g-r,1.4207992553710902
6804961404241860608,0.4419383,188.0529,244.576272795938,40.8511431000067,23.12482,22.01754,20.23814,19.36035,20.23814,boss,6044,81,56090,22.33639907836914,20.69289970397949,19.913000106811523,,,,,,,g-r,1.643499374389652
6806200553544374272,0.4670624,235.907,244.967344442326,40.5868959688435,23.22134,21.38583,19.56875,18.7181,19.56875,boss,6045,493,56072,21.32570075988769,,,,,,,,,,
6806200003788560384,0.4975155,154.0584,244.995498536797,40.4997569578651,22.44174,21.92407,20.18394,19.27293,20.18394,boss,6045,491,56072,,21.16510009765625,20.13759994506836,,,,,,,r-i,1.0275001525878906
6806199454032746496,0.4850408,120.2816,244.939498357182,40.4539849620134,24.02998,21.83181,20.33748,19.56842,20.33748,boss,6045,489,56072,22.16320037841797,21.06889915466309,20.34269905090332,,,,,,,g-r,1.0943012237548793
6806178838189725696,0.2409748,200.4938,245.571133363454,40.0770569743778,21.65327,19.57133,18.11028,17.58363,18.11028,boss,6045,414,56072,,,20.039100646972656,,,,,,,,
6806189008672282624,0.5087163,264.8345,245.446924135884,40.0206051055394,24.67226,22.31277,20.33134,19.32851,20.33134,boss,6045,451,56072,22.09259986877441,20.90069961547852,19.97780036926269,,,,,,,g-r,1.1919002532958913
6806177463800190976,0.5096747,222.8103,245.560477769049,39.909915134163,22.70755,22.01304,20.37302,19.45591,20.37302,boss,6045,409,56072,,22.105499267578125,,,,,,,,,
