specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
4433859618356353024,0.5285998,236.6873,233.695515909056,17.9580323363336,23.73627,22.5538,20.80413,19.69679,20.80413,boss,3938,239,55328,--,21.420700073242188,20.45840072631836,,,,,,
4433865390792398848,0.414154,245.916,233.659322362974,17.8519841400896,24.94907,21.22034,19.4535,18.74198,19.4535,boss,3938,260,55328,21.938600540161133,20.34760093688965,19.789100646972656,,,,,,
4433859893234259968,0.3888842,254.0873,233.716153530774,17.9088055615968,24.59515,21.0651,19.27206,18.62301,19.27206,boss,3938,240,55328,21.7268009185791,20.306499481201172,19.664899826049805,,,,,,
4433866765181933568,0.4509183,129.6208,233.732410245437,17.9651164978918,24.58525,22.0826,20.50546,19.72688,20.50546,boss,3938,265,55328,--,21.165300369262695,20.865699768066406,,,,,,
4433846973972633600,0.5130972,241.7152,233.890154080956,17.7196825335046,24.92307,22.22209,20.81525,19.73857,20.81525,boss,3938,193,55328,--,--,21.660900115966797,,,,,,
4433848073484261376,0.623615,189.8211,233.938178673323,17.8062871724075,23.2675,22.30051,20.75048,19.67896,20.75048,boss,3938,197,55328,--,21.434799194335938,20.5049991607666,,,,,,
4433843400559843328,0.2442662,204.0368,234.142106211306,17.7340980014723,21.26681,19.45031,18.05924,17.46178,18.05924,boss,3938,180,55328,20.803600311279297,19.53569984436035,18.90329933166504,,,,,,
4433848623240075264,0.6244945,147.1112,234.009380750495,17.8073926728672,23.68228,22.6965,20.734,19.66354,20.734,boss,3938,199,55328,--,21.434900283813477,20.42620086669922,,,,,,
4433839827147053056,0.5115066,295.9728,234.027640297193,17.7713450653594,23.69664,21.9917,20.13242,19.14495,20.13242,boss,3938,167,55328,22.080400466918945,20.895099639892578,20.063800811767578,,,,,,
4433830481298216960,0.6213574,239.1645,234.263865995204,17.6410124897967,25.76151,22.24616,20.71745,19.64067,20.71745,boss,3938,133,55328,22.370899200439453,21.134700775146484,20.100200653076172,,,,,,
4433831855687751680,0.2412874,207.0671,234.310004901931,17.6785653372406,22.49411,20.45783,18.77655,18.15444,18.77655,boss,3938,138,55328,21.980300903320312,--,--,,,,,,
4433830206420310016,0.4249988,265.725,234.333478370057,17.6096148384101,24.02919,21.02353,19.31509,18.58912,19.31509,boss,3938,132,55328,21.98539924621582,20.337099075317383,19.628400802612305,,,,,,
6644077838353061888,0.5399936,266.3322,223.770539150386,21.2513483833161,22.93551,22.07347,20.4805,19.47834,20.4805,boss,5901,518,56039,--,21.26409912109375,20.2283992767334,,,,,,
6644079487620503552,0.3296232,297.6418,224.044223920177,21.1640421322652,24.58821,21.66634,19.66012,19.05194,19.66012,boss,5901,524,56039,21.668899536132812,20.205699920654297,19.552000045776367,,,,,,
6644081961521666048,0.6451312,166.1053,224.047163907182,21.1919146905576,22.26428,21.22354,19.90166,19.08971,19.90166,boss,5901,533,56039,22.378799438476562,21.192699432373047,20.408599853515625,,,,,,
6644082236399572992,0.372821,209.3352,224.192116809542,21.1461685704048,22.16763,20.66036,18.86306,18.27763,18.86306,boss,5901,534,56039,--,--,--,,,,,,
6644067118114691072,0.3766463,211.591,224.223178203542,21.06217058816,25.80439,21.27382,19.39792,18.73621,19.39792,boss,5901,479,56039,21.982500076293945,20.44409942626953,19.903600692749023,,,,,,
6644066018603063296,0.3487149,277.4802,224.390015249876,20.939776635516,24.4001,20.70252,18.92371,18.36547,18.92371,boss,5901,475,56039,21.49139976501465,20.06329917907715,19.50160026550293,,,,,,
6644055573242599424,0.5253152,309.2731,224.543299207733,21.0753024090824,25.76147,22.02604,20.31963,19.33896,20.31963,boss,5901,437,56039,--,20.494699478149414,--,,,,,,
