specobjid,redshift,veldisp,ra,dec,u,g,r,i,modelMag_r,programname,plate,fiberid,mjd,ps1_g_mag,ps1_r_mag,ps1_i_mag,ps1_g_depth,ps1_r_depth,ps1_i_depth,ps1_g_fwhm,ps1_r_fwhm,ps1_i_fwhm
7847648902643996672,0.1801707,75.89217,190.822841086586,61.9154390383656,22.16069,21.20572,20.46048,19.79875,20.46048,boss,6970,460,56444,21.190200805664062,20.694599151611328,20.132999420166016,,,,,,
6909682468103936000,0.4103937,176.0426,354.262365212965,15.9077657120975,24.32285,21.65904,19.62956,18.8953,19.62956,boss,6137,126,56270,--,20.81920051574707,20.34950065612793,,,,,,
6909673946888820736,0.4451016,234.1167,354.305044775976,15.9306502792491,23.57724,21.78427,19.90896,19.06347,19.90896,boss,6137,95,56270,21.516000747680664,--,--,,,,,,
6909672297621379072,0.5349461,254.4142,354.336500409527,15.9280838732647,24.95681,22.73654,20.99049,19.85884,20.99049,boss,6137,89,56270,--,21.347999572753906,20.710599899291992,,,,,,
6909669273964402688,0.1751112,140.7311,354.676764693508,15.8755709738025,23.89591,21.23569,19.97594,19.43788,19.97594,boss,6137,78,56270,20.64539909362793,19.574600219726562,19.19569969177246,,,,,,
6909656354702776320,0.4177513,264.827,354.787786234334,15.9645060605617,22.781,21.31664,19.64165,18.85011,19.64165,boss,6137,31,56270,22.094200134277344,20.490299224853516,19.931299209594727,,,,,,
6910908703949740032,0.2752516,144.9132,354.931048653476,15.9456926972411,24.69465,20.99063,19.89765,19.1278,19.89765,boss,6138,491,56598,21.376800537109375,21.286300659179688,20.388700485229492,,,,,,
6910907598364760064,0.2752466,233.3481,354.931048653476,15.9456926972411,24.69465,20.99063,19.89765,19.1278,19.89765,boss,6138,487,56236,21.744699478149414,20.874900817871094,20.42140007019043,,,,,,
6909656904458590208,0.4441447,342.3709,355.003663737573,15.9852752910041,24.15371,21.8566,20.13777,19.27138,20.13777,boss,6137,33,56270,22.12459945678711,20.70949935913086,20.122699737548828,,,,,,
6910905124463597568,0.4439818,211.686,355.1165806817,15.9866965726035,25.55909,21.24746,19.49391,18.73269,19.49391,boss,6138,478,56236,21.761600494384766,20.26490020751953,19.661699295043945,,,,,,
6910905130536949760,0.4439724,253.7711,355.1165806817,15.9866965726035,25.55909,21.24746,19.49391,18.73269,19.49391,boss,6138,478,56598,21.761600494384766,20.26490020751953,19.661699295043945,,,,,,
6910892480079878144,0.3130657,285.5837,355.280604675863,15.9918506860937,22.41998,20.2816,18.65399,18.04701,18.65399,boss,6138,432,56236,--,--,19.863500595092773,,,,,,
6910893585664858112,0.3131855,258.58,355.280604675863,15.9918506860937,22.41998,20.2816,18.65399,18.04701,18.65399,boss,6138,436,56598,20.68090057373047,19.384700775146484,18.92180061340332,,,,,,
6910903200318248960,0.572504,163.7798,355.20890596634,15.9125668386053,23.92536,22.13065,20.97059,19.89044,20.97059,boss,6138,471,56236,--,21.40180015563965,20.21139907836914,,,,,,
6910904305903228928,0.5725038,214.6449,355.20890596634,15.9125668386053,23.92536,22.13065,20.97059,19.89044,20.97059,boss,6138,475,56598,--,21.40180015563965,20.21139907836914,,,,,,
6910904855659042816,0.587121,180.6636,355.223072011634,15.9252568452474,22.61465,21.58372,20.02657,19.1235,20.02657,boss,6138,477,56598,21.83919906616211,20.576400756835938,19.727100372314453,,,,,,
6910904299829876736,0.5869145,82.36448,355.223072011634,15.9252568452474,22.61465,21.58372,20.02657,19.1235,20.02657,boss,6138,475,56236,21.76460075378418,--,--,,,,,,
6910893310786951168,0.4641162,192.3002,355.260077538898,15.9174270617382,25.61631,21.57563,19.9102,19.04695,19.9102,boss,6138,435,56598,21.802900314331055,20.399900436401367,19.684799194335938,,,,,,
6910892205201971200,0.4643128,184.0848,355.260077538898,15.9174270617382,25.61631,21.57563,19.9102,19.04695,19.9102,boss,6138,431,56236,21.385400772094727,--,--,,,,,,
6910891105690343424,0.468679,245.6039,355.281492446661,15.9326894588081,23.8474,22.09005,20.0348,19.10668,20.0348,boss,6138,427,56236,22.198699951171875,--,--,,,,,,
6910892761031137280,0.4687072,262.0959,355.281492446661,15.9326894588081,23.8474,22.09005,20.0348,19.10668,20.0348,boss,6138,433,56598,22.198699951171875,--,--,,,,,,
6910893860542765056,0.4676545,267.3408,355.32057417362,15.9551217545349,25.90408,21.87728,20.01339,19.10682,20.01339,boss,6138,437,56598,21.746599197387695,--,20.567899703979492,,,,,,
6910890006178715648,0.4677709,228.4098,355.32057417362,15.9551217545349,25.90408,21.87728,20.01339,19.10682,20.01339,boss,6138,423,56236,22.004100799560547,20.502700805664062,19.922500610351562,,,,,,
6910882590548580352,0.2274093,221.2253,355.466831950982,15.9173913287045,22.5962,19.3518,17.96831,17.44423,17.96831,boss,6138,396,56598,18.746000289916992,19.162900924682617,18.56220054626465,,,,,,
6910883134231042048,0.2274523,196.7472,355.466831950982,15.9173913287045,22.5962,19.3518,17.96831,17.44423,17.96831,boss,6138,398,56236,18.746000289916992,19.162900924682617,18.56220054626465,,,,,,
6910890562007881728,0.4857667,242.355,355.377271366376,15.9046160361177,25.79691,21.72685,19.90547,18.9854,19.90547,boss,6138,425,56598,22.11370086669922,20.48110008239746,19.814199447631836,,,,,,
6910894404225226752,0.4856388,320.4058,355.377271366376,15.9046160361177,25.79691,21.72685,19.90547,18.9854,19.90547,boss,6138,439,56236,22.11370086669922,20.48110008239746,19.814199447631836,,,,,,
6910893854469412864,0.5881009,288.9522,355.339280780568,15.9114625712492,22.8988,22.9945,20.88246,19.69901,20.88246,boss,6138,437,56236,--,21.297800064086914,20.37649917602539,,,,,,
6910891111763695616,0.5879731,250.9469,355.339280780568,15.9114625712492,22.8988,22.9945,20.88246,19.69901,20.88246,boss,6138,427,56598,--,--,--,,,,,,
6910882859353135104,0.4625846,183.4043,355.503130714309,15.905152780001,25.47001,22.26257,20.67177,19.74849,20.67177,boss,6138,397,56236,--,21.074100494384766,20.32029914855957,,,,,,
6910882315670673408,0.4627403,237.7702,355.503130714309,15.905152780001,25.47001,22.26257,20.67177,19.74849,20.67177,boss,6138,395,56598,--,21.074100494384766,20.32029914855957,,,,,,
6910871320554395648,0.576788,187.9855,355.785620039998,15.9525510390703,23.16648,22.49799,20.7491,19.67679,20.7491,boss,6138,355,56598,21.709199905395508,21.27280044555664,20.536699295043945,,,,,,
6910871864236857344,0.5767926,300.5789,355.785620039998,15.9525510390703,23.16648,22.49799,20.7491,19.67679,20.7491,boss,6138,357,56236,21.709199905395508,21.27280044555664,20.536699295043945,,,,,,
6910860050560210944,0.314123,211.7565,355.856945355097,15.925942021363,20.23063,19.09185,17.76049,17.22433,17.76049,boss,6138,314,56598,21.015399932861328,19.429399490356445,19.209299087524414,,,,,,
6910861693754300416,0.3142281,207.1161,355.856945355097,15.925942021363,20.23063,19.09185,17.76049,17.22433,17.76049,boss,6138,320,56236,21.015399932861328,19.429399490356445,19.209299087524414,,,,,,
6910858395219417088,0.3209301,259.4336,355.946199040897,15.9214273460466,23.60078,20.77112,19.03331,18.40278,19.03331,boss,6138,308,56236,21.114299774169922,19.71820068359375,19.05270004272461,,,,,,
6910858401292769280,0.3209473,245.5365,355.946199040897,15.9214273460466,23.60078,20.77112,19.03331,18.40278,19.03331,boss,6138,308,56598,--,21.145999908447266,21.00510025024414,,,,,,
6910871870310209536,0.5286502,245.2672,355.834930325333,16.0104561188321,24.15358,22.49844,20.93002,19.93105,20.93002,boss,6138,357,56598,--,--,--,,,,,,
6910871314481043456,0.5283751,270.0859,355.834930325333,16.0104561188321,24.15358,22.49844,20.93002,19.93105,20.93002,boss,6138,355,56236,21.89150047302246,21.320199966430664,20.49090003967285,,,,,,
6910850154955560960,0.2748203,246.7032,356.098887154818,15.929432799124,23.17649,20.26611,18.70513,18.10946,18.70513,boss,6138,278,56598,20.719100952148438,19.226900100708008,18.69420051574707,,,,,,
6910846850347325440,0.2747428,255.7853,356.098887154818,15.929432799124,23.17649,20.26611,18.70513,18.10946,18.70513,boss,6138,266,56236,21.75149917602539,--,--,,,,,,
6910858120341510144,0.5127245,158.9584,355.952510346319,15.9957114627183,24.84623,22.20782,20.83488,19.90266,20.83488,boss,6138,307,56236,--,--,--,,,,,,
6910860325438117888,0.5129653,114.6917,355.952510346319,15.9957114627183,24.84623,22.20782,20.83488,19.90266,20.83488,boss,6138,315,56598,--,21.163999557495117,20.581600189208984,,,,,,
6910838610083469312,0.6155617,279.8932,356.24352219312,15.9321386085021,22.50033,21.92435,20.73594,19.73919,20.73594,boss,6138,236,56598,--,21.08300018310547,--,,,,,,
6910849324248487936,0.6767416,425.8102,356.102615449815,15.9883846672353,22.8938,22.36118,20.3378,19.10074,20.3378,boss,6138,275,56236,--,21.561199188232422,20.83209991455078,,,,,,
6910849330321840128,0.6770436,234.0044,356.102615449815,15.9883846672353,22.8938,22.36118,20.3378,19.10074,20.3378,boss,6138,275,56598,--,21.684099197387695,20.518999099731445,,,,,,
6910839159839283200,0.3253567,210.4845,356.265341046965,15.9560187280467,22.00573,20.07126,18.41954,17.76985,18.41954,boss,6138,238,56598,--,--,21.101200103759766,,,,,,
6910838604010117120,0.325206,197.9936,356.265341046965,15.9560187280467,22.00573,20.07126,18.41954,17.76985,18.41954,boss,6138,236,56236,21.277999877929688,19.824899673461914,19.1382999420166,,,,,,
6910826509382211584,0.3467245,264.8625,356.30545165621,15.9665200133362,24.82692,20.6252,18.85906,18.23051,18.85906,boss,6138,192,56236,21.211299896240234,19.649999618530273,19.188899993896484,,,,,,
6910828164723005440,0.3466814,249.4215,356.30545165621,15.9665200133362,24.82692,20.6252,18.85906,18.23051,18.85906,boss,6138,198,56598,21.211299896240234,19.649999618530273,19.188899993896484,,,,,,
6910826234504304640,0.4049455,258.9307,356.302478214071,16.0433334165318,22.7778,21.68499,20.02158,19.20545,20.02158,boss,6138,191,56236,--,21.05590057373047,21.43950080871582,,,,,,
6910828439600912384,0.4048584,246.2463,356.302478214071,16.0433334165318,22.7778,21.68499,20.02158,19.20545,20.02158,boss,6138,199,56598,22.32309913635254,20.886899948120117,20.069400787353516,,,,,,
6910827889845098496,0.4645697,205.8134,356.331842851264,15.9788508911162,22.72317,21.7565,20.28506,19.48003,20.28506,boss,6138,197,56598,21.914600372314453,20.851900100708008,20.177000045776367,,,,,,
6910826784260118528,0.4643791,186.8053,356.331842851264,15.9788508911162,22.72317,21.7565,20.28506,19.48003,20.28506,boss,6138,193,56236,21.914600372314453,20.851900100708008,20.177000045776367,,,,,,
6910815245461379072,0.2540546,130.8758,356.608869557635,15.9685126111796,24.1863,21.51665,20.48048,19.67225,20.48048,boss,6138,151,56598,--,--,20.406099319458008,,,,,,
6910816888655468544,0.254002,162.3457,356.608869557635,15.9685126111796,24.1863,21.51665,20.48048,19.67225,20.48048,boss,6138,157,56236,--,--,20.406099319458008,,,,,,
6910812215731050496,0.1110869,166.9597,356.779837555846,16.0320915496472,20.42142,18.37795,17.29167,16.75187,17.29167,boss,6138,140,56236,20.158300399780273,19.03190040588379,18.409299850463867,,,,,,
6910806174490449920,0.1110245,161.3636,356.779837555846,16.0320915496472,20.42142,18.37795,17.29167,16.75187,17.29167,boss,6138,118,56598,20.158300399780273,19.03190040588379,18.409299850463867,,,,,,
6910806449368356864,0.6291937,240.0314,356.731052771306,16.0006502976832,24.06238,21.59025,20.47215,19.54759,20.47215,boss,6138,119,56598,--,21.523399353027344,20.23069953918457,,,,,,
6910810291585701888,0.629524,175.5601,356.731052771306,16.0006502976832,24.06238,21.59025,20.47215,19.54759,20.47215,boss,6138,133,56236,--,21.514799118041992,20.918500900268555,,,,,,
4315595872157325312,0.5826845,208.3458,160.09495979639,-0.0643819045420454,23.21992,22.55548,20.84462,19.74054,20.84462,boss,3833,78,55290,--,--,19.976299285888672,,,,,,
4315595047523604480,0.3928644,302.3693,160.096095528746,-0.178584999982589,23.07804,21.83986,20.40755,19.60928,20.40755,boss,3833,75,55290,21.777299880981445,20.87529945373535,20.372600555419922,,,,,,
4315594497767790592,0.5432842,145.4404,160.185950688745,-0.202269078711954,23.7237,22.13789,20.53732,19.52835,20.53732,boss,3833,73,55290,--,21.147600173950195,20.262500762939453,,,,,,
4315581303628257280,0.5397254,217.726,160.285322570385,-0.171156845843352,22.2066,22.0121,20.42521,19.54856,20.42521,boss,3833,25,55290,--,--,20.490999221801758,,,,,,
4315582952895698944,0.4919881,281.1422,160.331195998171,-0.0712179297003711,22.29656,20.98915,19.51574,18.63037,19.51574,boss,3833,31,55290,22.05419921875,20.58970069885254,19.858699798583984,,,,,,
4315583502651512832,0.6845335,205.4469,160.364038010351,-0.0467896873964793,23.24014,22.59816,20.80203,19.65221,20.80203,boss,3833,33,55290,--,21.117599487304688,20.172300338745117,,,,,,
4315580204116629504,0.5347636,309.1581,160.410906440417,-0.035239530892438,24.3421,22.40985,20.74484,19.69305,20.74484,boss,3833,21,55290,--,21.09589958190918,20.171199798583984,,,,,,
4315578005093373952,0.5544857,72.11992,160.469086283772,-0.128915616277978,22.98474,22.23765,20.95486,20.02446,20.95486,boss,3833,13,55290,22.106399536132812,21.41860008239746,20.8346004486084,,,,,,
4315578554849187840,0.5532286,227.0524,160.516169292376,-0.0696653563866941,22.49945,22.19412,20.34605,19.09666,20.34605,boss,3833,15,55290,--,21.04170036315918,20.388500213623047,,,,,,
4315576355825932288,0.5456783,296.7837,160.574504814833,-0.144856873395503,23.4978,22.39736,20.95955,19.90738,20.95955,boss,3833,7,55290,--,--,--,,,,,,
4315575256314304512,0.5923094,319.8467,160.529801949165,-0.184868657913354,22.79632,22.26594,20.53477,19.23333,20.53477,boss,3833,3,55290,--,21.239299774169922,20.21380043029785,,,,,,
4315578829727094784,0.3676526,243.089,160.598808536102,-0.018398238941194,23.09773,21.31779,19.50374,18.79276,19.50374,boss,3833,16,55290,--,--,--,,,,,,
4313469970669656064,0.3700761,190.6856,153.77750121453,0.321280061660183,23.00074,20.46194,18.7363,18.15311,18.7363,boss,3831,536,55543,21.202600479125977,19.600200653076172,19.243499755859375,,,,,,
4313462548966168576,0.4952229,190.7246,153.644872399529,0.409342957475565,23.8565,22.29196,20.7045,19.79014,20.7045,boss,3831,509,55543,--,21.251699447631836,20.612699508666992,,,,,,
4312452648056150016,0.6028482,207.2209,153.669473261434,0.351263620494141,23.63678,22.84706,20.74917,19.55529,20.74917,boss,3830,931,55574,--,21.34149932861328,20.52429962158203,,,,,,
4313464198233610240,0.5599865,188.5544,153.692895799974,0.235908187786448,27.15882,21.81997,20.18107,19.16423,20.18107,boss,3831,515,55543,22.56599998474121,20.75659942626953,20.552099227905273,,,,,,
4312454847079405568,0.4958715,246.3104,153.707804465433,0.264726358476082,24.78793,22.42248,20.40366,19.46172,20.40366,boss,3830,939,55574,22.1781005859375,20.69070053100586,20.198200225830078,,,,,,
4312453197811963904,0.5620441,208.5062,153.695208397993,0.23854893941305,24.98922,22.55937,20.51389,19.48993,20.51389,boss,3830,933,55574,22.352399826049805,21.09939956665039,20.201400756835938,,,,,,
4313467496768493568,0.5841705,316.1005,153.843375043293,0.339937936520093,22.41728,21.90166,20.26127,19.33168,20.26127,boss,3831,527,55543,--,21.184600830078125,--,,,,,,
4313469146035935232,0.4655667,255.78,153.800731717743,0.371790718298934,22.44564,21.57506,19.97038,18.99805,19.97038,boss,3831,533,55543,--,20.828899383544922,20.293399810791016,,,,,,
4313469695791749120,0.5831236,309.3569,153.945004013186,0.212827445357622,23.34183,21.91478,20.50653,19.24047,20.50653,boss,3831,535,55543,22.25309944152832,21.178699493408203,20.15850067138672,,,,,,
4313479316518492160,0.3759667,258.1577,154.094996670062,0.333273832827299,22.58804,21.28061,19.42686,18.77428,19.42686,boss,3831,570,55543,--,--,18.62070083618164,,,,,,
4312464742684055552,0.5735196,151.747,154.098824073334,0.375851576013602,21.40477,21.12346,19.74552,18.99494,19.74552,boss,3830,975,55574,21.912200927734375,20.53860092163086,19.999300003051758,,,,,,
4313488937245235200,0.451051,346.7568,154.207633757892,0.408203890663811,26.66404,21.81915,19.89369,19.03186,19.89369,boss,3831,605,55543,22.019399642944336,20.51849937438965,19.747499465942383,,,,,,
4312467491463124992,0.4318493,145.6494,154.240665514093,0.408724348918997,21.79023,20.84489,19.60671,18.84601,19.60671,boss,3830,985,55574,21.596099853515625,20.493900299072266,19.98189926147461,,,,,,
4312468590974752768,0.4190794,263.9469,154.236800563409,0.311145303692912,22.38977,20.52542,18.7776,18.051,18.7776,boss,3830,989,55574,21.763500213623047,20.148500442504883,19.59079933166504,,,,,,
4313491411146397696,0.4150226,311.7869,154.237997926712,0.312249791652964,23.12504,20.64316,18.86999,18.18721,18.86999,boss,3831,614,55543,21.756099700927734,20.162799835205078,19.686599731445312,,,,,,
4313491686024304640,0.5596343,171.2014,154.308416231795,0.267362115889119,23.96085,22.67032,20.90647,19.82833,20.90647,boss,3831,615,55543,--,21.448400497436523,20.491600036621094,,,,,,
4312470240242194432,0.5596597,288.7472,154.308416231795,0.267362115889119,23.96085,22.67032,20.90647,19.82833,20.90647,boss,3830,995,55574,--,21.448400497436523,20.491600036621094,,,,,,
4312469140730566656,0.3776869,313.2656,154.346548828209,0.362743813819516,23.14612,21.72647,20.01332,19.19696,20.01332,boss,3830,991,55574,21.911399841308594,20.444799423217773,20.0216007232666,,,,,,
4313501581628954624,0.3025345,171.5202,154.460678496711,0.374592786095895,22.62826,20.2503,18.68058,18.07373,18.68058,boss,3831,651,55543,21.07939910888672,19.442899703979492,19.06800079345703,,,,,,
4312471339753822208,0.4623045,223.4311,154.409112914395,0.295188725199339,22.59803,21.83476,20.26948,19.42249,20.26948,boss,3830,999,55574,22.005399703979492,20.732799530029297,20.09980010986328,,,,,,
4313503780652210176,0.4560066,160.4875,154.605791189148,0.224263700136454,22.68847,21.5024,20.16198,19.2687,20.16198,boss,3831,659,55543,22.231399536132812,--,--,,,,,,
4313510102844069888,0.3696816,254.8891,154.639221963759,0.372198576916817,25.03885,21.06854,19.23483,18.55941,19.23483,boss,3831,682,55543,21.498199462890625,19.94849967956543,19.401399612426758,,,,,,
4313511477233604608,0.4866017,213.5498,154.731165249345,0.238514184841158,26.25981,21.61192,20.17267,19.33512,20.17267,boss,3831,687,55543,22.01609992980957,20.929800033569336,20.1648006439209,,,,,,
4313513126501046272,0.493038,183.0343,154.726787233426,0.310835095127392,25.4747,22.91585,20.98539,19.90222,20.98539,boss,3831,693,55543,--,21.28070068359375,20.53459930419922,,,,,,
4313524396495230976,0.5309566,219.8234,154.86784252382,0.348641087854132,23.2896,22.04864,20.08011,19.11219,20.08011,boss,3831,734,55543,--,20.90049934387207,19.970699310302734,,,,,,
4313521372838254592,0.5317227,203.4273,154.905021678597,0.382130378951349,25.52972,22.43011,20.73899,19.70855,20.73899,boss,3831,723,55543,22.222200393676758,20.860700607299805,20.08370018005371,,,,,,
4313523846739417088,0.4927019,233.7829,154.924401973852,0.38886509719346,23.09799,21.55684,19.65224,18.67795,19.65224,boss,3831,732,55543,22.054800033569336,20.400400161743164,19.774700164794922,,,,,,
4313533742344067072,0.4497969,274.5995,154.99119207886,0.368683734597983,25.42769,21.21786,19.31108,18.52187,19.31108,boss,3831,768,55543,21.820600509643555,20.259300231933594,19.65220069885254,,,,,,
4313534017221974016,0.4494519,172.0918,154.994267851928,0.346936043655587,24.7506,21.9345,20.19261,19.35743,20.19261,boss,3831,769,55543,21.969999313354492,20.622499465942383,19.997100830078125,,,,,,
4313536216245229568,0.4622899,210.4005,155.029475237171,0.307232494818068,22.74474,21.5348,19.92203,19.13318,19.92203,boss,3831,777,55543,21.92609977722168,20.749500274658203,20.07349967956543,,,,,,
4313536766001043456,0.4616084,270.2456,155.030669251977,0.28539372996631,24.24323,21.39953,19.91701,19.04937,19.91701,boss,3831,779,55543,21.68440055847168,20.452600479125977,19.814199447631836,,,,,,
4313535116733601792,0.6627474,114.7868,155.078303495749,0.375875329924458,22.19039,21.45246,20.28502,19.41615,20.28502,boss,3831,773,55543,21.84269905090332,21.78179931640625,--,,,,,,
4313547486239414272,0.3088157,223.8476,155.244378515042,0.403531586169943,22.27721,19.90138,18.34475,17.72269,18.34475,boss,3831,818,55543,20.80340003967285,19.34000015258789,18.375,,,,,,
4313545836971972608,0.304406,228.9913,155.145571884826,0.329684031910818,22.19489,20.1984,18.59909,17.97154,18.59909,boss,3831,812,55543,20.925399780273438,19.522199630737305,18.984800338745117,,,,,,
4313548035995228160,0.3058935,280.0287,155.271046994815,0.412725177353212,24.72538,20.47284,18.7906,18.18759,18.7906,boss,3831,820,55543,21.362699508666992,19.841899871826172,19.375,,,,,,
